Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
OnlyMale,RandomForest,Agathobaculum butyriciproducens,0.0029608723155592656,0.0,50,0.00021337685584869705,0.0027474954597105686,rCLR,47
OnlyMale,RandomForest,Veillonella atypica,0.0029448985307790653,0.0,53,0.0004483441630105152,0.00249655436776855,rCLR,48
OnlyMale,RandomForest,Dorea longicatena,0.002941480491589085,0.2,31,0.00029800044363841884,0.002643480047950666,rCLR,49
OnlyMale,RandomForest,Phocaeicola plebeius,0.002898749335632637,0.0,55,0.00044776019649305263,0.0024509891391395846,rCLR,50
OnlyMale,RandomForest,Eubacterium sp. CAG:274,0.002891737362074556,0.0,70,0.0009941426402100275,0.0018975947218645283,rCLR,51
OnlyMale,RandomForest,Bifidobacterium longum,0.002876318529230453,0.0,51,0.00019248356466745577,0.002683834964562997,rCLR,52
OnlyMale,RandomForest,Acidaminococcus intestini,0.0028327030640551286,0.1,40,0.00032354874888523323,0.0025091543151698954,rCLR,53
OnlyMale,RandomForest,Adlercreutzia equolifaciens_1,0.002701930108975705,0.0,54,0.00023053356218736943,0.002471396546788336,rCLR,54
OnlyMale,RandomForest,Blautia sp. CAG:257,0.002697715490797235,0.0,64,0.0006627815059817178,0.0020349339848155174,rCLR,55
OnlyMale,RandomForest,Bacteroides fragilis,0.002670994289145977,0.0,71,0.0008111704937912766,0.0018598237953547005,rCLR,56
OnlyMale,RandomForest,Bacteroides sp. CAG:144,0.002665011685116013,0.0,62,0.0005897624430022232,0.00207524924211379,rCLR,57
OnlyMale,RandomForest,Lawsonibacter asaccharolyticus,0.0025878954648764114,0.0,59,0.00038899778612878477,0.0021988976787476267,rCLR,58
OnlyMale,RandomForest,Roseburia inulinivorans,0.0025522901661467947,0.0,57,0.0003315917796830438,0.002220698386463751,rCLR,59
OnlyMale,RandomForest,Enterocloster bolteae,0.0025502116283110253,0.0,73,0.0007296223256141054,0.0018205893026969199,rCLR,60
OnlyMale,RandomForest,Streptococcus thermophilus,0.00253113495059139,0.0,75,0.0007181327010943134,0.0018130022494970764,rCLR,61
OnlyMale,RandomForest,Alistipes shahii,0.0025190504895203757,0.0,60,0.0003591123314938444,0.0021599381580265312,rCLR,62
OnlyMale,RandomForest,Klebsiella pneumoniae,0.002481751079730132,0.0,69,0.0005583054459022566,0.0019234456338278754,rCLR,63
OnlyMale,RandomForest,Coprococcus comes,0.002435889072630418,0.0,58,0.00022659483899898367,0.002209294233631434,rCLR,64
OnlyMale,RandomForest,Anaerotignum lactatifermentans,0.0024243885357930145,0.0,101,0.0011442561778767524,0.001280132357916262,rCLR,65
OnlyMale,RandomForest,Gemmiger formicilis,0.002406104700386707,0.0,61,0.00025558870928546744,0.0021505159911012397,rCLR,66
OnlyMale,RandomForest,Holdemanella biformis,0.0023552628233657687,0.0,66,0.00038321531431751007,0.0019720475090482586,rCLR,67
OnlyMale,RandomForest,Phocaeicola vulgatus,0.0022728996664280678,0.0,63,0.00021160008832316963,0.002061299578104898,rCLR,68
OnlyMale,RandomForest,Gordonibacter pamelaeae,0.0022495593725909858,0.0,65,0.00024136957430121543,0.0020081897982897703,rCLR,69
