Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
OnlyMale,RandomForest,rCLR_Escherichia coli,rCLR,Escherichia coli,0.004010385500119058,0.0038869733804026895,0.0003872880347253325,33.3,29.5,15,10,3,10,0.3,0.11613278974061339,0.23564647640921468,27
OnlyMale,RandomForest,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.004732942634918791,0.004868470138706107,9.40891505840294e-06,26.5,24.0,12,10,2,10,0.2,0.13705660761517588,0.17796981266531156,28
OnlyMale,RandomForest,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.0038727923907351095,0.0027903960540809868,0.0015056866601333711,44.2,44.0,7,10,2,10,0.2,0.11214836688615988,0.16925192841015596,29
OnlyMale,RandomForest,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0030759307151502356,0.0025323847701187946,0.00038711232227384704,50.4,50.0,14,10,2,10,0.2,0.08907283725931885,0.1611754930407616,30
OnlyMale,RandomForest,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.002643480047950666,0.0018899922858070257,0.001258913092931398,62.1,72.5,18,10,2,10,0.2,0.07654992583207959,0.15679247404122787,31
OnlyMale,RandomForest,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.00415881034331427,0.003891085345765203,-0.00034037011686465955,29.7,30.5,15,10,1,10,0.1,0.12043087806817226,0.10715080732386029,32
OnlyMale,RandomForest,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0041406704609342985,0.00297099002704809,0.0013981668948908046,39.4,42.5,4,10,1,10,0.1,0.11990558314420793,0.10696695410047277,33
OnlyMale,RandomForest,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.003630880086081366,0.0035163137437957993,0.0003146544438344069,34.2,32.0,17,10,1,10,0.1,0.10514306756738208,0.10180007364858373,34
OnlyMale,RandomForest,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.00354517681690905,0.003279052198290152,0.0012774543687833718,39.0,35.0,19,10,1,10,0.1,0.10266127130650485,0.1009314449572767,35
OnlyMale,RandomForest,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.003252936880332949,0.0025173515682936484,0.00039674939308494025,46.3,50.0,16,10,1,10,0.1,0.09419858383987727,0.09796950434395704,36
OnlyMale,RandomForest,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.0031751361359754573,0.002853609527376414,0.000753735739974408,43.9,44.5,19,10,1,10,0.1,0.09194562898407511,0.09718097014442628,37
OnlyMale,RandomForest,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.0031708884105577178,0.0027226907856376997,-0.0003793206182242185,43.2,44.0,18,10,1,10,0.1,0.09182262330225237,0.09713791815578833,38
OnlyMale,RandomForest,rCLR_[Eubacterium] rectale,rCLR,[Eubacterium] rectale,0.0028449870783165895,0.0023088064448958897,0.00016352936381257621,48.6,52.5,18,10,1,10,0.1,0.08238516875025952,0.09383480906259083,39
