Feature_Type,N_Features,MeanAbsSHAP_Total,MeanAbsSHAP_Mean,Percent_TopN,Percent_SHAP_TopN
rCLR,18,0.15571582247671248,0.008650879026484027,90.0,79.64763746672016
PA,1,0.03453275779455908,0.03453275779455908,5.0,17.663282573345622
covariate,1,0.005257309707921542,0.005257309707921542,5.0,2.6890799599342277
