comparison,feature_type,feature,species,positive_group,negative_group,effect_name,effect,p_value,q_value,significant_fdr_0_05
CRC_vs_Control,rCLR,rCLR_Roseburia intestinalis,Roseburia intestinalis,CRC,Control,mean_rCLR_difference,-0.3122052802197276,5.5203956056151774e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Flavonifractor plautii,Flavonifractor plautii,CRC,Control,mean_rCLR_difference,0.3326992860494607,6.279431775893956e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Roseburia faecis,Roseburia faecis,CRC,Control,mean_rCLR_difference,-0.3325358313543945,6.022027480788797e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Parabacteroides distasonis,Parabacteroides distasonis,CRC,Control,mean_rCLR_difference,0.3017508895904364,3.995258124586243e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,CRC,Control,mean_rCLR_difference,0.2477874051487734,6.0546748649049376e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,CRC,Control,mean_rCLR_difference,-0.318879477294343,3.6221547190032066e-05,0.0007465546666896148,True
CRC_vs_Control,rCLR,rCLR_Bacteroides caccae,Bacteroides caccae,CRC,Control,mean_rCLR_difference,0.2162151359006923,7.707246970468533e-05,0.000824675425840133,True
Adenoma_vs_Control,rCLR,rCLR_Lachnospira eligens,Lachnospira eligens,Adenoma,Control,mean_rCLR_difference,-0.5449882455764028,8.539670361152736e-06,0.0009137447286433429,True
CRC_vs_Adenoma,rCLR,rCLR_Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,CRC,Adenoma,mean_rCLR_difference,0.42261997970754656,4.704407897428714e-05,0.0010067432900497447,True
CRC_vs_Control,rCLR,rCLR_Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,CRC,Control,mean_rCLR_difference,-0.3648784359093069,0.00014510991682410474,0.001411523736379928,True
Adenoma_vs_Control,rCLR,rCLR_Phocaeicola vulgatus,Phocaeicola vulgatus,Adenoma,Control,mean_rCLR_difference,-0.7146020515573721,2.6809799123158658e-05,0.0014343242530889882,True
CRC_vs_Control,rCLR,rCLR_Paraprevotella xylaniphila,Paraprevotella xylaniphila,CRC,Control,mean_rCLR_difference,-0.13196391213081102,0.00025704609932658464,0.0022919943856620465,True
CRC_vs_Control,rCLR,rCLR_Bacteroides fragilis,Bacteroides fragilis,CRC,Control,mean_rCLR_difference,0.34230667535930404,0.0002806787481682264,0.0023102020041538634,True
CRC_vs_Control,rCLR,rCLR_Eubacterium ventriosum,Eubacterium ventriosum,CRC,Control,mean_rCLR_difference,-0.2819388612080693,0.00030313567480434495,0.002316822657433208,True
CRC_vs_Control,PA,PA_Roseburia intestinalis,Roseburia intestinalis,CRC,Control,prevalence_difference,-0.10670102167238249,7.120154795674683e-05,0.00253952187712397,True
CRC_vs_Control,rCLR,rCLR_Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,CRC,Control,mean_rCLR_difference,0.26431767636593695,0.0003825291433282812,0.002728707889075073,True
CRC_vs_Control,rCLR,rCLR_Parvimonas micra,Parvimonas micra,CRC,Control,mean_rCLR_difference,-0.2475265329034213,0.0004735612379327133,0.0031669407786750203,True
Adenoma_vs_Control,PA,PA_Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Adenoma,Control,prevalence_difference,-0.1388784804288925,5.809528238030229e-05,0.0035532419225477985,True
Adenoma_vs_Control,PA,PA_Phascolarctobacterium faecium,Phascolarctobacterium faecium,Adenoma,Control,prevalence_difference,-0.14764080244422667,6.64157368700523e-05,0.0035532419225477985,True
Adenoma_vs_Control,PA,PA_Ruminococcus bicirculans,Ruminococcus bicirculans,Adenoma,Control,prevalence_difference,-0.15106358448146656,0.00018365379251461452,0.006550318599687918,True
CRC_vs_Adenoma,PA,PA_Bacteroides ovatus,Bacteroides ovatus,CRC,Adenoma,prevalence_difference,0.11695034904698409,0.0005174985093833001,0.006921542563001639,True
CRC_vs_Adenoma,PA,PA_Bacteroides fragilis,Bacteroides fragilis,CRC,Adenoma,prevalence_difference,0.13805004314063846,0.0006053021815187806,0.007196370380278837,True
CRC_vs_Control,PA,PA_Phocaeicola plebeius,Phocaeicola plebeius,CRC,Control,prevalence_difference,0.0936652721167831,0.0003852636928222198,0.007361648819878934,True
CRC_vs_Control,PA,PA_Methanobrevibacter smithii,Methanobrevibacter smithii,CRC,Control,prevalence_difference,0.08703068608263156,0.0003645285166774913,0.007361648819878934,True
CRC_vs_Control,PA,PA_Escherichia coli,Escherichia coli,CRC,Control,prevalence_difference,0.08699253047959343,0.0005027955341349024,0.007361648819878934,True
CRC_vs_Control,PA,PA_Bacteroides fragilis,Bacteroides fragilis,CRC,Control,prevalence_difference,0.09480769576068804,0.0005504036500844062,0.007361648819878934,True
CRC_vs_Control,PA,PA_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,CRC,Control,prevalence_difference,0.08008187743522524,0.000463647132474222,0.007361648819878934,True
CRC_vs_Adenoma,PA,PA_Phocaeicola plebeius,Phocaeicola plebeius,CRC,Adenoma,prevalence_difference,0.128166915052161,0.0007635441379240685,0.008169922275787533,True
CRC_vs_Control,rCLR,rCLR_Eubacterium sp. CAG:251,Eubacterium sp. CAG:251,CRC,Control,mean_rCLR_difference,-0.20924619240069803,0.0013671664746716888,0.008605106634698278,True
CRC_vs_Control,rCLR,rCLR_Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,CRC,Control,mean_rCLR_difference,-0.25783863204908297,0.0015446055266032969,0.009181821741475154,True
CRC_vs_Control,PA,PA_Enterocloster bolteae,Enterocloster bolteae,CRC,Control,prevalence_difference,0.08763668683676584,0.0009145165340297984,0.010197648200479685,True
CRC_vs_Control,PA,PA_Megamonas funiformis,Megamonas funiformis,CRC,Control,prevalence_difference,0.06725037257824143,0.0009530512336896901,0.010197648200479685,True
CRC_vs_Control,rCLR,rCLR_Dorea formicigenerans,Dorea formicigenerans,CRC,Control,mean_rCLR_difference,0.1588399631504235,0.0021066057102288693,0.011863516368131,True
CRC_vs_Control,PA,PA_Bacteroides caccae,Bacteroides caccae,CRC,Control,prevalence_difference,0.08633490743899597,0.0012658102446747549,0.012312881470927161,True
CRC_vs_Control,PA,PA_Ruminococcus bicirculans,Ruminococcus bicirculans,CRC,Control,prevalence_difference,-0.08768606467599166,0.0014947305847532394,0.013328014380716385,True
Adenoma_vs_Control,rCLR,rCLR_Coprococcus catus,Coprococcus catus,Adenoma,Control,mean_rCLR_difference,0.1924557166444661,0.00037784666021270865,0.013476530880919942,True
CRC_vs_Adenoma,PA,PA_Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,CRC,Adenoma,prevalence_difference,0.12628441446387956,0.0015184704370559748,0.014770576069544482,True
