feature,species,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,mean_control,mean_adenoma,mean_crc,adenoma_position_between_control_crc
rCLR_Blautia wexlerae,Blautia wexlerae,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4659358702771435,0.2686597658892899,0.06292168895476413,-0.4390954241118056,-0.18892270693063534,-0.5735466091616974,-1.8606955162822605
rCLR_Butyricimonas virosa,Butyricimonas virosa,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.03507474612392071,0.2423563911862585,0.9365291868861819,-0.9230459350281213,-0.760913730203853,-0.6955973238135635,0.7128300496472368
rCLR_Clostridium sp. CAG:58,Clostridium sp. CAG:58,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.030348838777158414,0.40729370265832326,0.033304883017787716,-0.22334620253982826,-0.2971955835875999,-0.08227294551514988,-0.5234824984217451
rCLR_Collinsella aerofaciens,Collinsella aerofaciens,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.05787287445345133,0.2423563911862585,0.8097859414540772,0.9415030223514065,1.216995560569895,1.1832559589743514,1.1395623236964696
rCLR_Coprobacter fastidiosus,Coprobacter fastidiosus,ORDERED_INCREASING,False,False,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.8201137859148873,0.8097859414540772,-0.3057886059827142,-0.2709921776071619,-0.23980514000522396,0.5273507212764915
rCLR_Coprococcus catus,Coprococcus catus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2410714063494656,0.013476530880919942,0.10069266914716277,-0.33607360003227105,-0.14361788338780496,-0.27055784358128593,2.937548569533036
rCLR_Coprococcus comes,Coprococcus comes,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.02230802196927907,0.8938734150964286,0.3810013051683975,0.6387351386958743,0.5950400830124428,0.42023703975206433,0.19997911146434413
rCLR_Coprococcus eutactus,Coprococcus eutactus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.20514626780253692,0.27274255537873043,0.782521299332616,0.1334571482766021,-0.020980050306927463,0.04846885262290233,1.8171584380608352
rCLR_Desulfovibrio piger,Desulfovibrio piger,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2410714063494656,0.2423563911862585,0.0459863038982372,-0.027396756802293205,-0.06563061567761841,0.038824630319326946,-0.5773642102226896
rCLR_Dialister invisus,Dialister invisus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9112625636991013,0.584746545506214,0.7100095578405444,-0.2668618624210433,-0.19318291885340466,-0.22626818323495487,1.8150348784568562
rCLR_Dorea formicigenerans,Dorea formicigenerans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.011863516368131,0.7058141206505152,0.4473147830958861,0.14495592881421174,0.18266236850113235,0.30379589196463525,0.2373863537805793
rCLR_Dorea longicatena,Dorea longicatena,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.815410388370865,0.623378328598611,0.787836095476114,0.761069748364351,0.8561712195128309,0.7873304035595502,3.621443198639837
rCLR_Eggerthella lenta,Eggerthella lenta,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.570312061666208,0.5025124751028249,-0.9157389891870669,-0.825424401961163,-0.9591041774560999,-2.0826517958506674
rCLR_Enterocloster bolteae,Enterocloster bolteae,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5877254077699615,0.40729370265832326,0.1758001241806221,-1.209616801454374,-1.0135424174443453,-1.2349537532837223,-7.7386729599774595
rCLR_Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.7586447292071463,0.5955492232519828,0.49756399713876,-0.5857363518120923,-0.5164787663389315,-0.697933138452653,-0.6172867115618722
rCLR_Escherichia coli,Escherichia coli,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.20514626780253692,0.33620942585786057,0.8942974617817265,-0.11117990107339798,0.2117375975791004,0.13031422048154861,1.3371650480486985
rCLR_Eubacterium ramulus,Eubacterium ramulus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.6466443617055493,0.7543010425257479,-0.4945216461529606,-0.5061758430734582,-0.49098694206063354,-3.2970785152272746
rCLR_Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,ORDERED_INCREASING,False,False,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4490836066515591,0.9371012608280294,0.7100095578405444,0.3837912222827844,0.42432861357563023,0.5350908595385284,0.267927881573998
rCLR_Eubacterium sp. CAG:251,Eubacterium sp. CAG:251,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.008605106634698278,0.4109714082776068,0.5654019280871122,0.24250394045610138,0.15876938072270386,0.03325774805540336,0.4001724417190312
rCLR_Eubacterium sp. CAG:274,Eubacterium sp. CAG:274,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0785366190221727,0.623378328598611,0.06421604574405378,-0.15420987369944122,-0.07772351032168107,-0.2465549769927681,-0.8282665853413722
rCLR_Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.20514626780253692,0.3524335602672121,0.8962997816021374,-0.042804563672681574,-0.26864507213436795,-0.19155136655299604,1.5182881520042046
rCLR_Eubacterium ventriosum,Eubacterium ventriosum,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.002316822657433208,0.6190352763984995,0.25750679227037665,-0.2623966385015716,-0.42031883680224275,-0.5443354997096409,0.5601292337778347
rCLR_Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.001411523736379928,0.3067117578131005,0.6368993553624833,2.482900447719481,2.261100270909846,2.118022011810174,0.60787417117948
rCLR_Firmicutes bacterium CAG:110,Firmicutes bacterium CAG:110,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9962165354442319,0.9626221225097799,0.9086194460791583,-0.1974532445402424,-0.17877830484403856,-0.2099768400208937,-1.491180366297862
rCLR_Firmicutes bacterium CAG:145,Firmicutes bacterium CAG:145,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.9371012608280294,0.8947687962272958,-0.683130437469456,-0.7184015494432978,-0.6857811027043428,13.306513213973798
rCLR_Firmicutes bacterium CAG:83,Firmicutes bacterium CAG:83,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2410714063494656,0.970082714322258,0.47017017951070633,-0.23819391594330153,-0.3524953343737099,-0.10602413428991268,-0.8648074998728552
rCLR_Flavonifractor plautii,Flavonifractor plautii,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.970082714322258,0.043864684494345045,-0.4815636536974458,-0.4832525255422416,-0.1488643676479851,-0.005076271322520042
rCLR_Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.009181821741475154,0.973247117917964,0.1494459456056694,1.0065205759218252,0.9930870474307191,0.7486819438727422,0.05210052653610449
rCLR_Gemmiger formicilis,Gemmiger formicilis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4503304253599365,0.2477008707316529,0.06389477404699152,-0.6306121851825216,-0.4458830700980739,-0.7284907194524357,-1.8873302145599224
rCLR_Gordonibacter pamelaeae,Gordonibacter pamelaeae,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.4432524846590147,0.1676963868102183,0.019804397448106362,-1.7138584214018346,-1.4078789027557386,-1.8141605640509095,-3.0505780890107257
rCLR_Holdemanella biformis,Holdemanella biformis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.6190352763984995,0.7543010425257479,-0.05695629690972211,-0.11621066703398153,-0.09129942159374721,1.7253633928022258
rCLR_Intestinibacter bartlettii,Intestinibacter bartlettii,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.7709279884142028,0.10971275483437475,0.03780977280362593,-0.7554824354669997,-0.43815141322861756,-0.7597118761146004,-75.02907563400693
rCLR_Klebsiella pneumoniae,Klebsiella pneumoniae,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9729640400128703,0.2423563911862585,0.25106441923649947,-0.12136283368213871,0.06391661930865415,-0.08775914273764333,5.513663760829925
