feature,species,n_control,n_adenoma,n_crc,mean_control,mean_adenoma,mean_crc,median_control,median_adenoma,median_crc,gradient_mean_crc_minus_control,adenoma_position_between_control_crc,jt_J_increasing,jt_z_increasing,jt_p_increasing,jt_J_decreasing,jt_z_decreasing,jt_p_decreasing,p_crc_vs_control,cliffs_delta_crc_vs_control,p_adenoma_vs_control,cliffs_delta_adenoma_vs_control,p_crc_vs_adenoma,cliffs_delta_crc_vs_adenoma,monotonic_increasing_means,monotonic_decreasing_means,jt_q_increasing,jt_q_decreasing,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,best_trend_direction,best_trend_q
rCLR_Gordonibacter pamelaeae,Gordonibacter pamelaeae,664,209,671,-1.7138584214018346,-1.4078789027557386,-1.8141605640509095,-1.508765305330472,-0.8680270501030809,-1.7144396906564752,-0.10030214264907489,-3.0505780890107257,350788.0,49.66533321583412,0.0,373771.0,56.39371593301225,0.0,0.22369751562230644,-0.038209469771784604,0.018807071417968408,0.10681962298956592,0.0011105269597068987,-0.14819700653883727,False,False,0.0,0.0,0.4432524846590147,0.1676963868102183,0.019804397448106362,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Holdemanella biformis,Holdemanella biformis,664,209,671,-0.05695629690972211,-0.11621066703398153,-0.09129942159374721,0.0,0.0,0.0,-0.0343431246840251,1.7253633928022258,360860.5,52.61410556577872,0.0,363698.5,53.444943583067655,0.0,0.8481299537407527,-0.004782917063185678,0.42174095140375634,-0.028261370842220558,0.5371732241719269,0.022925149209563674,False,False,0.0,0.0,0.9729640400128703,0.6190352763984995,0.7543010425257479,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Intestinibacter bartlettii,Intestinibacter bartlettii,664,209,671,-0.7554824354669997,-0.43815141322861756,-0.7597118761146004,0.0,0.0,0.0,-0.0042294406476007795,-75.02907563400693,357920.5,51.753406562667564,0.0,366638.5,54.30564258617881,0.0,0.6124194300486658,-0.014191639882929633,0.01093868036780022,0.10256096154954747,0.0031802612638563866,-0.11856901432554424,False,False,0.0,0.0,0.7709279884142028,0.10971275483437475,0.03780977280362593,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Klebsiella pneumoniae,Klebsiella pneumoniae,664,209,671,-0.12136283368213871,0.06391661930865415,-0.08775914273764333,0.0,0.0,0.0,0.033603690944495376,5.513663760829925,363174.5,53.29154008727505,0.0,361384.5,52.767509061571324,0.0,0.9003582574099873,0.002996337062108344,0.05415148154816087,0.0634403643281259,0.08447027189265402,-0.059534081104400345,False,False,0.0,0.0,0.9729640400128703,0.2423563911862585,0.25106441923649947,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,664,209,671,-0.20882748357625372,-0.0878650970773741,-0.1505809029956052,0.0,0.0,0.0,0.05824658058064852,2.0767294027053564,371067.5,55.60225343134184,0.0,353491.5,50.456795717504534,0.0,0.13335434389246653,0.029893792756719877,0.06964842768318225,0.0502896754482043,0.4948824480406936,-0.019409721974629025,False,False,0.0,0.0,0.3101937999237809,0.2423563911862585,0.7100095578405444,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Klebsiella variicola,Klebsiella variicola,664,209,671,-0.2223055783645566,-0.11492757605886403,-0.18813347656678825,0.0,0.0,0.0,0.03417210179776836,3.1422709361326144,367253.0,54.48554038801956,0.0,357306.0,51.57350876082681,0.0,0.4370052876260613,0.01714308800028729,0.07248041605570348,0.056220095693779906,0.21531157753294028,-0.039168847467537564,False,False,0.0,0.0,0.6047528238814505,0.2423563911862585,0.47017017951070633,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Lachnospira eligens,Lachnospira eligens,664,209,671,0.9368995308299001,0.3919112852534972,0.4893344177497308,0.5778391266882336,0.0,0.0,-0.4475651130801693,1.217673651607387,319664.5,40.55378035075586,0.0,404894.5,65.50526879809051,0.0,3.029774206969839e-06,-0.14479153574057782,8.539670361152736e-06,-0.20025796967775408,0.25660551632812667,0.05042819757699356,False,False,0.0,0.0,0.00016209292007288642,0.0009137447286433429,0.49756399713876,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,664,209,671,0.4943943166972711,0.15972344943479047,0.17551483940292806,0.0,0.0,0.0,-0.318879477294343,1.0495214997908482,327253.5,42.7754962468819,0.0,397305.5,63.28355290196448,0.0,3.6221547190032066e-05,-0.11948090424290306,0.005275978626731661,-0.11693664610595492,0.9196270982427769,-0.004207103587447144,False,False,0.0,0.0,0.0007465546666896148,0.09408828551004796,0.9283028255846899,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,664,209,671,-1.3129003387029865,-1.1201136291174576,-1.2380941975488744,-1.0792786853530159,-0.776448206976164,-0.9560568321602264,0.0748061411541121,2.5771508409765285,365473.0,53.96443690994546,0.0,359086.0,52.094612238900915,0.0,0.7077441685122806,0.01176539241915501,0.17349503751881745,0.06172537038104571,0.2439725581072255,-0.05291680630922924,False,False,0.0,0.0,0.8704439773656785,0.39441824856484203,0.4925483720277949,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Megamonas funiformis,Megamonas funiformis,664,209,671,0.026778783341327567,-0.0893107873066321,0.020438063950564023,0.0,0.0,0.0,-0.006340719390763545,18.30858038238785,361398.5,52.7716076282528,0.0,363160.5,53.287441520593575,0.0,0.882634528801164,-0.0029716481424954663,0.06046349204798022,-0.048603504928806135,0.1346780951423144,0.044973224281405315,False,False,0.0,0.0,0.9729640400128703,0.2423563911862585,0.3431084804816105,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Methanobrevibacter smithii,Methanobrevibacter smithii,664,209,671,0.00584099094202296,0.18571652650488696,0.031777327627070515,0.0,0.0,0.0,0.025936336685047554,6.9352714590015045,368459.0,54.83860263215291,0.0,356100.0,51.220446516693464,0.0,0.40221530008812256,0.020774603630617852,0.06017444872410466,0.06512653484752406,0.2604073256053323,-0.042320609816099655,False,False,0.0,0.0,0.5895484535538235,0.2423563911862585,0.49756399713876,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,664,209,671,-0.018254003111414143,-0.17225476110252894,0.22953340203735925,0.0,0.0,0.019679301938924,0.2477874051487734,-0.6215035743993993,399005.5,63.78123599900154,0.0,325553.5,42.27781314984484,0.0,6.0546748649049376e-05,0.12554091178424578,0.14468588442318236,-0.06602726696258719,2.6726856158311477e-05,0.19025378104521568,False,False,0.0,0.0,0.0007465546666896148,0.3600323170530352,0.000714943402234832,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,664,209,671,0.005352169055233458,-0.15362211433582987,0.006042241108842529,0.0,0.0,0.0,0.0006900720536090711,-230.37345529300765,374947.0,56.73799553425672,0.0,349612.0,49.32105361458966,0.0,0.1469216948598482,0.043443520729714684,0.05357027882608975,-0.08334294114256068,0.0036599082240019705,0.12510785159620363,False,False,0.0,0.0,0.323737617144706,0.2423563911862585,0.03916101799682108,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,664,209,671,-0.6623469945451528,-0.3960442892201797,-0.504590032359464,0.0,0.0,0.0,0.1577569621856888,1.6880567528393444,385669.5,59.87705848012725,0.0,338889.5,46.18199066871912,0.0,0.007090850181579069,0.07935692097750166,0.02841010504264911,0.09309246555600392,0.8023603395424836,-0.010667503333594792,False,False,0.0,0.0,0.030348838777158414,0.20265874930423033,0.8942974617817265,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Parabacteroides distasonis,Parabacteroides distasonis,664,209,671,0.9919602883105951,0.6919959559818566,1.2937111779010315,1.0081369671651803,0.535900551780591,1.3991929378777708,0.3017508895904364,-0.994079363729059,399735.0,63.994800598583026,0.0,324824.0,42.06424855026334,0.0,3.995258124586243e-05,0.12967069470130896,0.01024420093983816,-0.11725370381045713,1.8378817495778206e-07,0.23822902331020615,False,False,0.0,0.0,0.0007465546666896148,0.10971275483437475,1.966533472048268e-05,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Parabacteroides merdae,Parabacteroides merdae,664,209,671,0.6416170449740652,0.2859594328162767,0.72713537104978,0.3640483813604267,0.0,0.7522566949436127,0.08551832607571475,-4.1588467464026655,382767.5,59.02748415800869,0.0,341791.5,47.03156499083769,0.0,0.021285625716289794,0.07184475607347422,0.004268963790210895,-0.12843719375108087,2.4096362785619238e-05,0.1910310256062864,False,False,0.0,0.0,0.0785366190221727,0.09135582511051316,0.000714943402234832,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Paraprevotella xylaniphila,Paraprevotella xylaniphila,664,209,671,0.07467832756278785,-0.05802509913096684,-0.05728558456802318,0.0,0.0,0.0,-0.13196391213081102,1.0056039151234817,334857.5,45.001603464452394,0.0,389701.5,61.05744568439398,0.0,0.00025704609932658464,-0.09448000646400805,0.20776388524616674,-0.04599498472358333,0.23537433443849254,-0.04539393464015003,False,False,0.0,0.0,0.0022919943856620465,0.40729370265832326,0.48432795740228274,increasing_Control_to_Adenoma_to_CRC,0.0
