Model,Algorithm,Metric,Median,IQR_25,IQR_75,Mean,Std,N_folds
Model_A,RandomForest,AUC,0.7362734797905517,0.6927022782298922,0.8228854739010988,0.7518659675616745,0.13007320760562865,10
Model_A,RandomForest,AUPRC,0.7355224049438902,0.7155057850120152,0.8560932432717261,0.7603294246197965,0.1370689060832774,10
Model_A,RandomForest,F1,0.6889659958362249,0.651878820568141,0.7504248088360238,0.6784873960576604,0.18953101705575032,10
Model_A,LASSO,AUC,0.747546740501124,0.6650567063142778,0.7708592212902559,0.7202508463687529,0.10242243746677979,10
Model_A,LASSO,AUPRC,0.7605199552434815,0.688866743763621,0.7930635012090934,0.7422949245236221,0.111100386633073,10
Model_A,LASSO,F1,0.6531550495949883,0.5747787610619469,0.7378934624697336,0.6329551174838886,0.1562725659915808,10
Model_B,RandomForest,AUC,0.7736812397372743,0.703238297827492,0.83307312994813,0.7753022492648214,0.11578345287296099,10
Model_B,RandomForest,AUPRC,0.7990057693300086,0.7350747473882443,0.8628325995139912,0.809950803871186,0.10434094421316047,10
Model_B,RandomForest,F1,0.7657142857142858,0.6661613098847787,0.8033553355335534,0.7147806270381067,0.18631431828062794,10
Model_B,LASSO,AUC,0.7435247747747749,0.6615363536719036,0.7894710653331343,0.7340637807158135,0.12759834756956354,10
Model_B,LASSO,AUPRC,0.7819683210945014,0.6821537090722867,0.8212546271650468,0.7801854512701277,0.10610256587048215,10
Model_B,LASSO,F1,0.633641975308642,0.607255877034358,0.7330348258706468,0.6506654061012495,0.1457273772865851,10
Model_C,RandomForest,AUC,0.6856060606060606,0.6379622989192688,0.7854944534632035,0.7226339342554027,0.13539609356552626,10
Model_C,RandomForest,AUPRC,0.6673296399354192,0.6215805690292988,0.7676642895392894,0.6950234266194035,0.1656188133708203,10
Model_C,RandomForest,F1,0.5598290598290598,0.4975,0.6076271186440678,0.5402602296815371,0.22879283050172472,10
Model_C,LASSO,AUC,0.6843487394957983,0.6444444444444444,0.7288232600732601,0.6957508721866099,0.11981907902339423,10
Model_C,LASSO,AUPRC,0.6392686694835159,0.572317826137405,0.7538890040670592,0.670009204526405,0.14751005934370684,10
Model_C,LASSO,F1,0.6325000000000001,0.5278195488721804,0.6831988609397247,0.5995153525747675,0.19035664874733463,10
Model_D,RandomForest,AUC,0.4959016393442623,0.4891975308641975,0.5148238576909662,0.5016044669577295,0.020874119994289682,5
Model_D,RandomForest,AUPRC,0.4535798339318136,0.4188964747902201,0.5210869448348225,0.42846273559533304,0.1377616290195191,5
Model_D,RandomForest,F1,0.0,0.0,0.0,0.0,0.0,5
Model_D,LASSO,AUC,0.4887316406017721,0.4164715066354411,0.4922839506172839,0.45571389580481547,0.05626473151353289,5
Model_D,LASSO,AUPRC,0.4078565823719909,0.3881322128982986,0.4594656411623469,0.4192494618107843,0.10990595919177908,5
Model_D,LASSO,F1,0.2753623188405797,0.2666666666666666,0.3373493975903614,0.29962567661952155,0.07020321547910288,5
