Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.5047087547959539,0.4594656411623469,0.3373493975903614,14,22,39,33
HanniganGD_2017,0.3763736263736263,0.4078565823719909,0.2666666666666666,6,13,15,20
ThomasAM_2018a,0.4922839506172839,0.5713918441862265,0.4,10,13,11,17
YachidaS_2019,0.4887316406017721,0.2694010284350588,0.2753623188405797,19,52,199,48
ZellerG_2014,0.4164715066354411,0.3881322128982986,0.21875,7,15,46,35
