Model,Algorithm,AUC,AUPRC,F1
Model_A,LASSO,0.7202508463687529,0.7422949245236221,0.6329551174838884
Model_A,RandomForest,0.7518659675616746,0.7603294246197965,0.6784873960576604
Model_B,LASSO,0.7340637807158135,0.7801854512701277,0.6506654061012493
Model_B,RandomForest,0.7753022492648214,0.809950803871186,0.7147806270381069
Model_C,LASSO,0.6957508721866099,0.670009204526405,0.5995153525747675
Model_C,RandomForest,0.7226339342554027,0.6950234266194035,0.5402602296815372
Model_D,LASSO,0.45571389580481547,0.4192494618107844,0.29962567661952155
Model_D,RandomForest,0.5016044669577295,0.4284627355953331,0.0
