Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
All,RandomForest,Roseburia hominis,0.0025178002580899736,0.0,51,0.0002463031028423343,0.0022714971552476393,rCLR,51
All,RandomForest,Eubacterium sp. CAG:274,0.002516812003959744,0.0,52,0.0002751285897899366,0.0022416834141698078,rCLR,52
All,RandomForest,Phocaeicola coprocola,0.0024979281059177806,0.0,55,0.00040100708899526205,0.0020969210169225184,rCLR,53
All,RandomForest,Enterocloster bolteae,0.00246774000288245,0.0,75,0.0008839869475625262,0.0015837530553199238,rCLR,54
All,RandomForest,Klebsiella quasipneumoniae,0.002422766064149847,0.0,48,0.00012082993379508353,0.0023019361303547635,rCLR,55
All,RandomForest,Alistipes putredinis,0.0023961633976955317,0.0,54,0.00025287234677104614,0.0021432910509244854,rCLR,56
All,RandomForest,Holdemanella biformis,0.0023137052787714665,0.0,57,0.0004621501879100252,0.0018515550908614412,rCLR,57
All,RandomForest,Bifidobacterium pseudocatenulatum,0.0022878334491189885,0.0,60,0.0004576367612006635,0.001830196687918325,rCLR,58
All,RandomForest,Bifidobacterium bifidum,0.0022346289496549244,0.0,66,0.0005364039418883818,0.0016982250077665427,rCLR,59
All,RandomForest,Gemmiger formicilis,0.0022186990935701297,0.0,56,0.0003064985637069318,0.0019122005298631978,rCLR,60
All,RandomForest,Prevotella copri,0.002193756511090571,0.0,74,0.0006069321821368684,0.0015868243289537027,rCLR,61
All,RandomForest,Blautia sp. CAG:257,0.0021913075413994318,0.0,70,0.0005673915614952392,0.0016239159799041926,rCLR,62
All,RandomForest,Oscillibacter sp. 57_20,0.0021604102662610624,0.1,37,0.00027897439184103556,0.0018814358744200267,rCLR,63
All,RandomForest,Erysipelatoclostridium ramosum,0.0021602766751352177,0.0,61,0.00034478057944532044,0.0018154960956898972,rCLR,64
All,RandomForest,Firmicutes bacterium CAG:110,0.002148191220710505,0.0,94,0.0007906888112436927,0.001357502409466812,rCLR,65
All,RandomForest,Bacteroides salyersiae,0.002134155209290055,0.0,72,0.0005216862000003273,0.0016124690092897275,rCLR,66
All,RandomForest,Anaerobutyricum hallii,0.00212064924773592,0.0,63,0.00039450609579286114,0.0017261431519430587,rCLR,67
All,RandomForest,[Ruminococcus] gnavus,0.002107105483297675,0.0,82,0.0006370731724540595,0.0014700323108436156,rCLR,68
All,RandomForest,Bacteroides stercoris,0.00209573888053782,0.0,81,0.0005906613388540975,0.0015050775416837225,rCLR,69
All,RandomForest,Firmicutes bacterium CAG:83,0.0020656625360414653,0.0,58,0.00021598819525220928,0.001849674340789256,rCLR,70
All,RandomForest,Adlercreutzia equolifaciens_1,0.0020578299332862453,0.0,67,0.0003939525331629249,0.0016638774001233203,rCLR,71
All,RandomForest,Gordonibacter pamelaeae,0.0020365986383739307,0.0,59,0.0001970670647484729,0.0018395315736254576,rCLR,72
All,RandomForest,Agathobaculum butyriciproducens,0.0019903994543066014,0.0,64,0.0002668978616490356,0.001723501592657566,rCLR,73
All,RandomForest,Slackia isoflavoniconvertens,0.0019780341956368176,0.0,69,0.0003356288899709347,0.0016424053056658828,rCLR,74
All,RandomForest,Bacteroides xylanisolvens,0.0019439616686249184,0.0,68,0.00029732772087572994,0.0016466339477491884,rCLR,75
All,RandomForest,Phocaeicola vulgatus,0.0019255831020770881,0.0,65,0.00021814731606485384,0.0017074357860122342,rCLR,76
All,RandomForest,Phascolarctobacterium succinatutens,0.0019118187315959882,0.0,76,0.00034772364873334697,0.0015640950828626412,rCLR,77
All,RandomForest,Acidaminococcus intestini,0.0018311423858711144,0.0,71,0.00020994463368866366,0.0016211977521824507,rCLR,78
All,RandomForest,Eubacterium ramulus,0.0018251232892401333,0.0,73,0.0002185976930589684,0.001606525596181165,rCLR,79
All,RandomForest,Ruminococcus bromii,0.0018202614286369147,0.0,78,0.00029432984297946793,0.0015259315856574467,rCLR,80
All,RandomForest,[Eubacterium] rectale,0.0017797814287329441,0.0,79,0.00025706451139736395,0.0015227169173355802,rCLR,81
All,RandomForest,Megamonas funiformis,0.0017752027161690809,0.0,100,0.0005140558735663228,0.001261146842602758,rCLR,82
All,RandomForest,Barnesiella intestinihominis,0.0017400859152464847,0.0,84,0.0002833524851233468,0.0014567334301231378,rCLR,83
All,RandomForest,Bacteroides eggerthii,0.0017263948425929878,0.0,88,0.00032258076998491924,0.0014038140726080686,rCLR,84
All,RandomForest,Alistipes inops,0.0017132918619113472,0.0,80,0.0001980001320829529,0.0015152917298283943,rCLR,85
All,RandomForest,[Eubacterium] siraeum,0.0016787849066104536,0.0,95,0.00035211429803552567,0.001326670608574928,rCLR,86
All,RandomForest,Streptococcus parasanguinis,0.0016396332954686456,0.0,91,0.00027269775840145066,0.0013669355370671949,rCLR,87
All,RandomForest,Adlercreutzia equolifaciens,0.0016344632936815024,0.0,92,0.0002704514312092625,0.00136401186247224,rCLR,88
All,RandomForest,Bacteroides intestinalis,0.0016217536184706186,0.0,108,0.0005121642653315055,0.001109589353139113,rCLR,89
All,RandomForest,Blautia wexlerae,0.0016202195383188973,0.0,83,0.00016108699232044316,0.001459132545998454,rCLR,90
All,RandomForest,[Ruminococcus] lactaris,0.001593148726287857,0.0,109,0.00048585986677682875,0.0011072888595110284,rCLR,91
All,RandomForest,Firmicutes bacterium CAG:145,0.0015921965912870895,0.0,102,0.0004071102791921739,0.0011850863120949156,rCLR,92
All,RandomForest,Alistipes shahii,0.001552980302417749,0.0,112,0.00048386230486227946,0.0010691179975554695,rCLR,93
All,RandomForest,Bacteroides uniformis,0.0014973402140317908,0.0,90,0.00012752826808029157,0.0013698119459514993,rCLR,94
All,RandomForest,Phascolarctobacterium faecium,0.0014951545967608827,0.0,98,0.00020695534176000554,0.0012881992550008773,rCLR,95
All,RandomForest,Roseburia inulinivorans,0.0014758008884118057,0.0,101,0.0002633196321526662,0.0012124812562591396,rCLR,96
All,RandomForest,Bacteroides ovatus,0.0014352508219840953,0.0,104,0.0002858134424897216,0.0011494373794943735,rCLR,97
All,RandomForest,Eggerthella lenta,0.0014061607154712268,0.0,103,0.00023148822776585708,0.0011746724877053697,rCLR,98
All,RandomForest,Klebsiella pneumoniae,0.0013621172374874819,0.0,105,0.00021750320503086045,0.0011446140324566213,rCLR,99
All,RandomForest,Bacteroides finegoldii,0.0013518719412078338,0.0,107,0.00022826551726007831,0.0011236064239477555,rCLR,100
All,RandomForest,Lawsonibacter asaccharolyticus,0.0013449347469821665,0.0,111,0.0002694268725489143,0.0010755078744332522,rCLR,101
All,RandomForest,Phocaeicola dorei,0.0013397497531896965,0.0,110,0.00026037214605362816,0.0010793776071360683,rCLR,102
All,RandomForest,Intestinibacter bartlettii,0.0013356316989403122,0.0,113,0.000266882911187115,0.001068748787753197,rCLR,103
All,RandomForest,Phocaeicola massiliensis,0.0012607163807686166,0.0,117,0.0002931556432494892,0.0009675607375191273,rCLR,104
All,RandomForest,Veillonella atypica,0.0011839044095898006,0.0,118,0.00022248919668279316,0.0009614152129070075,rCLR,105
All,RandomForest,Klebsiella variicola,0.0011787818943631936,0.0,115,0.00013828801028386575,0.001040493884079328,rCLR,106
All,RandomForest,Dialister invisus,0.001119824016019664,0.0,121,0.00020388560243062665,0.0009159384135890375,rCLR,107
