Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,RandomForest,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.004514972807362313,0.0030487992979499187,-2.7438674342120755e-05,36.4,34.5,3,10,2,10,0.2,0.12635659804839391,0.17422480931693787,28
All,RandomForest,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.004467145371058773,0.004008629273670621,0.0009737233900186812,28.9,26.5,5,10,2,10,0.2,0.1250180933878925,0.17375633268576238,29
All,RandomForest,rCLR_Blautia obeum,rCLR,Blautia obeum,0.0026706141233044734,0.0019855244872156643,0.000951720668839142,51.5,55.5,16,10,2,10,0.2,0.0747401434556786,0.1561590502094875,30
All,RandomForest,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.003946097930309018,0.0035171061607365568,0.0016729196875719687,31.0,33.0,15,10,1,10,0.1,0.11043599403889905,0.10365259791361467,31
All,RandomForest,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.003255453522844595,0.0032066629243313813,0.00010113317623318722,36.4,33.0,18,10,1,10,0.1,0.09110753260363834,0.09688763641127342,32
All,RandomForest,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0032381525515678285,0.0030179344934815663,-0.0016537396951857648,36.5,36.5,19,10,1,10,0.1,0.09062334544089386,0.09671817090431285,33
All,RandomForest,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0029618952788452125,0.0027112325635146677,-0.0015893170460242589,50.2,40.5,10,10,1,10,0.1,0.08289197458735598,0.0940121911055746,34
All,RandomForest,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.0028014219520028283,0.0028620965541757545,0.001266660051275267,53.9,39.0,18,10,1,10,0.1,0.07840094783648666,0.09244033174277033,35
All,RandomForest,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.0025007015837764813,0.002109877303973065,-0.00021153164859276228,52.0,51.5,19,10,1,10,0.1,0.06998494970888325,0.08949473239810914,36
All,RandomForest,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0018814358744200267,0.0013026690972163853,0.00046710800004685715,77.6,90.0,17,10,1,10,0.1,0.05265410151535439,0.08342893553037403,37
All,RandomForest,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.003613912075834766,0.003562283242287233,-0.0002847565989464302,32.9,32.5,23,10,0,10,0.0,0.10113939884729105,0.03539878959655186,38
All,RandomForest,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.003520339620287395,0.0035443482386421227,1.1537345326514622e-05,33.1,32.0,25,10,0,10,0.0,0.09852066831258652,0.03448223390940528,39
All,RandomForest,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.003227966851612003,0.0027011977239393544,-0.0011397398520815202,41.3,38.5,23,10,0,10,0.0,0.09033828715813719,0.03161840050534801,40
All,RandomForest,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0030201007541793765,0.0027224118761399172,-0.0018360506869488837,41.7,39.0,25,10,0,10,0.0,0.08452092035620354,0.029582322124671236,41
All,RandomForest,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.0027301477424794534,0.002753804645910015,0.0015538657341835885,54.1,42.0,24,10,0,10,0.0,0.07640625882545285,0.026742190588908497,42
All,RandomForest,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.0026713823907238065,0.0024989393472411485,2.2755117301347128e-05,46.5,46.5,27,10,0,10,0.0,0.07476164428450753,0.026166575499577634,43
All,RandomForest,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.0026446433188607793,0.0023838138222739454,0.0005292745237134029,45.4,45.0,22,10,0,10,0.0,0.07401332124918952,0.02590466243721633,44
All,RandomForest,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0026122127223957656,0.002270851941994504,-0.00029973460135959153,46.0,48.5,24,10,0,10,0.0,0.07310571448900764,0.025587000071152673,45
All,RandomForest,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.0024363580257900233,0.0022451059258764097,0.00019823876499115465,56.3,50.0,29,10,0,10,0.0,0.06818422278529228,0.023864477974852295,46
All,RandomForest,rCLR_Escherichia coli,rCLR,Escherichia coli,0.0023124018400940806,0.001958000163243834,5.702682600941727e-05,56.2,52.0,21,10,0,10,0.0,0.06471516934912229,0.0226503092721928,47
All,RandomForest,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0023019361303547635,0.002541203927295855,0.0013780658228869202,52.6,41.5,36,10,0,10,0.0,0.06442227467727274,0.022547796137045457,48
All,RandomForest,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.0022844586313968433,0.002012979846473854,-0.00027209976851478516,54.8,56.0,26,10,0,10,0.0,0.06393314718859416,0.022376601516007955,49
All,RandomForest,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.0022818084856508353,0.0019020742826574338,-0.0004360020249135878,63.0,60.5,25,10,0,10,0.0,0.06385897987572532,0.022350642956503863,50
All,RandomForest,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.0022714971552476393,0.002386327590858706,-2.563263665032206e-05,50.9,46.0,35,10,0,10,0.0,0.06357040568343422,0.022249641989201978,51
All,RandomForest,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.0022416834141698078,0.0021174230866516913,-0.00076618997909395,54.0,51.0,30,10,0,10,0.0,0.06273603456794322,0.021957612098780124,52
All,RandomForest,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.002195512001984025,0.0022793532590559525,0.0002649723018636318,60.1,47.0,32,10,0,10,0.0,0.06144387560712459,0.021505356462493606,53
All,RandomForest,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.0021432910509244854,0.0019180604603659755,0.0006859093645439695,59.2,60.0,28,10,0,10,0.0,0.05998241348890865,0.020993844721118024,54
