Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
OnlyFemale,RandomForest,Blautia obeum,0.003413423019548693,0.2,34,0.0002624490821784019,0.0031509739373702913,rCLR,41
OnlyFemale,RandomForest,Firmicutes bacterium CAG:83,0.0033733778886884456,0.0,48,0.00024266673152212518,0.0031307111571663203,rCLR,42
OnlyFemale,RandomForest,Ruminococcus bicirculans,0.0033433227040775815,0.0,77,0.0015624928246427228,0.0017808298794348588,rCLR,43
OnlyFemale,RandomForest,Roseburia intestinalis,0.003322315759177334,0.0,72,0.0014276745328768944,0.0018946412263004396,rCLR,44
OnlyFemale,RandomForest,Coprococcus eutactus,0.003292829889779104,0.0,49,0.0006216688891857997,0.002671161000593304,rCLR,45
OnlyFemale,RandomForest,Megamonas funiformis,0.003211956578173089,0.1,41,0.00027377841891920805,0.002938178159253881,rCLR,46
OnlyFemale,RandomForest,Lachnospira pectinoschiza,0.0031610540712763823,0.1,42,0.0002696270116153238,0.0028914270596610584,rCLR,47
OnlyFemale,RandomForest,Escherichia coli,0.0029602489024089735,0.0,97,0.0014244773714554028,0.0015357715309535708,rCLR,48
OnlyFemale,RandomForest,[Ruminococcus] lactaris,0.0029470914858152498,0.0,70,0.0010319393816167447,0.001915152104198505,rCLR,49
OnlyFemale,RandomForest,Bacteroides ovatus,0.0029032646965932328,0.0,53,0.0005807153504893017,0.0023225493461039312,rCLR,50
OnlyFemale,RandomForest,Erysipelatoclostridium ramosum,0.002860255978639513,0.0,58,0.000673376506455093,0.00218687947218442,rCLR,51
OnlyFemale,RandomForest,Barnesiella intestinihominis,0.0027197713469262193,0.0,50,0.00029500170151304213,0.002424769645413177,rCLR,52
OnlyFemale,RandomForest,Lachnospira eligens,0.0027048335087247345,0.0,76,0.0009105844637897966,0.0017942490449349376,rCLR,53
OnlyFemale,RandomForest,Eubacterium ventriosum,0.0026394078346771654,0.1,44,0.00034840687116229573,0.0022910009635148695,rCLR,54
OnlyFemale,RandomForest,Bacteroides cellulosilyticus,0.00262539528292811,0.0,52,0.00028626396997210533,0.002339131312956005,rCLR,55
OnlyFemale,RandomForest,Gemmiger formicilis,0.0026136945375910795,0.0,79,0.0009061205418498586,0.0017075739957412208,rCLR,56
OnlyFemale,RandomForest,Oscillibacter sp. CAG:241,0.0025717968431268894,0.0,60,0.00040681915920873126,0.002164977683918158,rCLR,57
OnlyFemale,RandomForest,Eubacterium ramulus,0.002513589266770323,0.0,55,0.0002639512980668454,0.0022496379687034773,rCLR,58
OnlyFemale,RandomForest,Bifidobacterium longum,0.0024963745214327425,0.0,54,0.00020142428987875199,0.0022949502315539904,rCLR,59
OnlyFemale,RandomForest,Collinsella aerofaciens,0.0024866816523618,0.0,56,0.0002718951720695327,0.0022147864802922676,rCLR,60
OnlyFemale,RandomForest,Roseburia faecis,0.002482022544158152,0.0,68,0.0005649535585606873,0.001917068985597465,rCLR,61
