Feature_Type,N_Features,MeanAbsSHAP_Total,MeanAbsSHAP_Mean,Percent_TopN,Percent_SHAP_TopN
rCLR,18,0.14360609967202034,0.007978116648445575,90.0,87.29499015446007
PA,1,0.01597019122157705,0.01597019122157705,5.0,9.707928065983381
covariate,1,0.004930400060743969,0.004930400060743969,5.0,2.99708177955655
