comparison,stratum,species,feature,study,group1,group0,n_group1,n_group0,mean_group1,mean_group0,sd_group1,sd_group0,hedges_g,variance,se
CRC_vs_Control,All,Clostridium sp. CAG:58,rCLR_Clostridium sp. CAG:58,WirbelJ_2018,CRC,Control,60,65,-0.2514526182186278,-0.5287994742465942,1.0920036129861121,1.120286234461938,0.2490511293868674,0.03230342215310674,0.17973152798857173
CRC_vs_Control,All,Clostridium sp. CAG:58,rCLR_Clostridium sp. CAG:58,YachidaS_2019,CRC,Control,258,251,0.021984349034443726,-0.09975524547749255,0.8099730298328252,0.7068765533575215,0.15976070833471603,0.007885203825953988,0.08879867018122506
CRC_vs_Control,All,Clostridium sp. CAG:58,rCLR_Clostridium sp. CAG:58,YuJ_2015,CRC,Control,74,54,0.10153497183574692,-0.1074724960316282,1.1703550195570247,0.6153435768779624,0.2128395385740688,0.0322117965922718,0.17947645135858856
CRC_vs_Control,All,Clostridium sp. CAG:58,rCLR_Clostridium sp. CAG:58,ZellerG_2014,CRC,Control,53,61,-0.3052641319197929,-0.5178388156787747,1.2201958207877166,1.0067735373029305,0.1900568365788947,0.03542262429915617,0.18820899101572214
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,FengQ_2015,CRC,Control,46,61,0.6270527762366609,0.41638937492737194,2.423693731842901,2.5151434817836362,0.08446054236998654,0.03816654250162596,0.1953625923804912
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,HanniganGD_2017,CRC,Control,27,28,0.3743147066635198,1.060148874880363,2.038249098075253,1.921030863855162,-0.34155925171908924,0.07385191447240674,0.2717570872533166
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,ThomasAM_2018a,CRC,Control,29,24,0.9686784703276574,1.0635750706377152,1.7510596970074528,2.1670306709705143,-0.04795378843353692,0.07617197005034779,0.2759926992700129
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,ThomasAM_2018b,CRC,Control,32,28,0.4847508076335505,0.03532294993220613,1.5569043510215466,0.8481877498660633,0.34739798398548494,0.06800467674253725,0.2607770632983991
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,ThomasAM_2019_c,CRC,Control,40,40,-0.05995286367086365,-0.5098004760894655,1.6483112944810627,1.516973975752995,0.2812544167111242,0.050507077223843046,0.22473779660716406
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,VogtmannE_2016,CRC,Control,52,52,0.3320774609679166,-0.039883216297992456,1.9342684562085013,2.214948615730171,0.17756461106563787,0.03861609331988597,0.19650977919657325
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,WirbelJ_2018,CRC,Control,60,65,0.2820888618972264,-0.018656255250986877,2.6490889289974313,1.8709396305879291,0.13123678172330985,0.032121294623953155,0.1792241463194989
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,YachidaS_2019,CRC,Control,258,251,-0.10045840723068963,-0.29510522768109865,1.3283017441062936,1.487592534250445,0.13793114457548133,0.007878795065319168,0.08876257694163216
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,YuJ_2015,CRC,Control,74,54,0.1225521978514243,-0.2574991064228082,2.632713799665927,1.7760143426756887,0.1634456979087593,0.03213804193744823,0.17927086193090117
CRC_vs_Control,All,Akkermansia muciniphila,rCLR_Akkermansia muciniphila,ZellerG_2014,CRC,Control,53,61,0.29955849630623893,0.014292487264880919,2.5338441263705587,1.9209202389281135,0.12725891114874235,0.03533366550155076,0.18797251262232667
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,FengQ_2015,CRC,Control,46,61,-0.45701417485155427,-0.055173569702467354,1.4478886205638708,0.9980981327106788,-0.32931654606583405,0.03864899871255595,0.19659348593622308
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,HanniganGD_2017,CRC,Control,27,28,-0.004098112400175318,-0.3626901496808376,0.07835663863192042,1.0145686901159872,0.48675726165066074,0.07498653625858359,0.27383669633302177
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,ThomasAM_2018a,CRC,Control,29,24,-0.09234002136104683,0.22569722430297232,0.7701441871740259,0.5881897544051787,-0.45148322862170487,0.0781478282846767,0.2795493306818614
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,ThomasAM_2018b,CRC,Control,32,28,-0.17380895923202225,-0.6992793105010361,0.9474457539814982,1.7504917237422537,0.3756502193261255,0.06818077784600783,0.2611144918345357
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,ThomasAM_2019_c,CRC,Control,40,40,-0.13479003123203387,-0.1833510319145839,1.0228106635052658,0.8212529192599909,0.05185053532985036,0.050017233833423026,0.2236453304529809
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,VogtmannE_2016,CRC,Control,52,52,-0.31702095413461406,-0.043915102071046395,1.308670017658516,1.4894657022314073,-0.1933635082411289,0.03864482006114296,0.19658285800431063
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,WirbelJ_2018,CRC,Control,60,65,0.05709910384321743,-0.15496907958851558,0.8709147433249872,1.0788990251181303,0.21406214569936116,0.03223755279201951,0.17954819072332506
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,YachidaS_2019,CRC,Control,258,251,-0.19794733308207152,-0.14218934065253863,0.9848460404722494,0.8718187363715545,-0.059812748742154156,0.007863560907792728,0.08867672134101896
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,YuJ_2015,CRC,Control,74,54,-0.12217722242842866,-0.33317891079090217,1.4522998346834737,1.6770536312182986,0.13524725261652912,0.03210461861671584,0.17917761751043526
CRC_vs_Control,All,Bacteroides intestinalis,rCLR_Bacteroides intestinalis,ZellerG_2014,CRC,Control,53,61,-0.046173267980619055,-0.15837188529734067,1.2880849913855135,1.2333334178193605,0.08851563717111666,0.03529634491028757,0.1878732149889589
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,FengQ_2015,CRC,Control,46,61,-0.6435525064420066,-0.07311474394539312,2.0004230103450458,2.04220175100184,-0.2797633270938647,0.0385052755300507,0.19622761153836302
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,HanniganGD_2017,CRC,Control,27,28,0.13513235082779773,0.5147892834562741,0.9078787058390663,1.3909330190903835,-0.317448575132276,0.0737020170706955,0.2714811541722473
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,ThomasAM_2018a,CRC,Control,29,24,-0.24124185725992242,0.014719412386769493,0.6843783727598651,1.4225861892787113,-0.23315726440852086,0.07668238911036089,0.2769158520387753
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,ThomasAM_2018b,CRC,Control,32,28,-0.06533619252446288,-0.15642713487296284,0.7824976759089876,1.2161337076800132,0.08920789071275732,0.06703288957433243,0.258907106071526
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,ThomasAM_2019_c,CRC,Control,40,40,0.31951117242431787,0.2264113484744991,1.1282039825489445,1.7810293209736863,0.06184758061089761,0.0500245200206886,0.22366161946272453
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,VogtmannE_2016,CRC,Control,52,52,-0.32330449037763004,-0.19044944672944977,1.149279040486777,0.7799535768515126,-0.13427487665533597,0.03854991955222869,0.1963413342936955
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,WirbelJ_2018,CRC,Control,60,65,-0.3424850335357567,0.084774010663222,1.7458511696082972,1.0092241416633703,-0.30087300799421574,0.03241926809575151,0.18005351453318402
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,YachidaS_2019,CRC,Control,258,251,0.05007475353788935,-0.07829502023633347,1.3429417799172545,1.6520198739579297,0.08526503944965418,0.007867202487714088,0.08869725186111511
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,YuJ_2015,CRC,Control,74,54,0.4495589409963139,0.5714397707585077,2.2786357260109127,1.6157377890049849,-0.05978786831323466,0.032046216909799655,0.17901457178062252
CRC_vs_Control,All,Bifidobacterium pseudocatenulatum,rCLR_Bifidobacterium pseudocatenulatum,ZellerG_2014,CRC,Control,53,61,-0.40671239885656074,-0.4155364663449465,1.6025702185501163,2.136223825948404,0.004595858695038117,0.03526146144552567,0.18778035425870745
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,FengQ_2015,CRC,Control,46,61,-0.8113877742989996,-1.2785778535708232,1.378200016689647,1.469984494528325,0.32405689528037623,0.03863263435001322,0.19655186173123168
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,HanniganGD_2017,CRC,Control,27,28,-0.04534928024680453,-0.06431665795300766,0.23564177242243542,0.23920674325795363,0.0787388989221747,0.07280981156456309,0.26983293269088393
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,ThomasAM_2018a,CRC,Control,29,24,-0.4945256402234367,-0.09303427600237531,1.3528718636558612,2.0986895993949792,-0.2287115048277379,0.07666225815442072,0.2768795011452107
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,ThomasAM_2018b,CRC,Control,32,28,-0.4259769160652178,-0.056849519216792044,1.1061601612688454,0.9754271586016475,-0.3478676372120677,0.06800749168859181,0.26078246046962555
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,ThomasAM_2019_c,CRC,Control,40,40,-0.11970631830777947,0.3452185048223363,1.2526696426502293,1.582187670795285,-0.3226692380238445,0.0506674066485057,0.2250942172702482
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,VogtmannE_2016,CRC,Control,52,52,0.25852740215536935,0.17426906247889062,1.3896892288970777,1.7084164209314847,0.05370904583633376,0.03847567895960047,0.1961521831629729
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,WirbelJ_2018,CRC,Control,60,65,-0.09363298137165357,-0.06986112071497454,1.4608047354429448,1.361873949615918,-0.016754148296109377,0.032052423114229726,0.17903190529687643
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,YachidaS_2019,CRC,Control,258,251,-0.02825183161006131,0.13594141120380318,1.2396135061195532,1.3844999679317338,-0.12486156272508271,0.007875407894907184,0.08874349494417709
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,YuJ_2015,CRC,Control,74,54,-0.44719366780048614,0.07280098011180121,1.7823169840712136,1.3534797765650064,-0.3198872355692757,0.03243809490298502,0.18010578808851485
CRC_vs_Control,All,Eubacterium sp. CAG:38,rCLR_Eubacterium sp. CAG:38,ZellerG_2014,CRC,Control,53,61,-0.46539779654552826,-0.019439530484314623,1.7049869066987915,1.2907160072884012,-0.29582723714538767,0.035652053554096785,0.18881751389661072
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,FengQ_2015,CRC,Control,46,61,-0.328443211640617,-0.8222443555242367,1.6474990648585337,1.411103612063111,0.3231951420644766,0.038629978295133795,0.19654510498899178
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,HanniganGD_2017,CRC,Control,27,28,-0.04135901934642027,0.02108663830564874,0.2348341101991973,0.5913319222593696,-0.1358958817777091,0.07292554624834295,0.2700473037235198
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,ThomasAM_2018a,CRC,Control,29,24,0.3971757451615245,-0.058140206702759156,1.8997255535136264,1.4166747065510934,0.2640351281531103,0.07683290125695269,0.2771874839471521
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,ThomasAM_2018b,CRC,Control,32,28,-0.5673309467045509,-0.4383552243993952,1.539978675968885,1.2509004085633084,-0.09010617927785372,0.067034278158631,0.25890978768411016
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,ThomasAM_2019_c,CRC,Control,40,40,0.09526424208746728,0.10592387500532578,1.6253756082825745,1.4881123922338726,-0.006774757143414823,0.05000029421368175,0.22360745563080348
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,VogtmannE_2016,CRC,Control,52,52,1.0560267122386857,0.29342110562767376,1.9738665320151767,2.1568886761109933,0.36615217360478347,0.03911873166857527,0.19778455872128964
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,WirbelJ_2018,CRC,Control,60,65,0.37135679177536673,-0.2726446230714942,1.3410468545839216,1.302068044360788,0.48456532763399074,0.03300576805431065,0.1816748965991467
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,YachidaS_2019,CRC,Control,258,251,0.07935801869635392,0.016941743926376818,1.4713108548977143,1.451942969436203,0.04263525056074147,0.007861825404516874,0.08866693523809692
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,YuJ_2015,CRC,Control,74,54,0.5726559502615969,-0.249383711025855,2.1667517513119026,1.9492908127744124,0.3932219821497765,0.0326456174576106,0.1806809825565784
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,ZellerG_2014,CRC,Control,53,61,0.6951693170171618,-0.00692425628901333,1.7241007024615018,1.2328186620733719,0.4707846972056444,0.03625082354019472,0.19039649035682016
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,FengQ_2015,CRC,Control,46,61,-0.01429076676857618,0.2926466659220626,1.3030150416918131,2.384325338269287,-0.15282475102350118,0.03824378926975912,0.19556019346932318
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,HanniganGD_2017,CRC,Control,27,28,0.19029277337895112,0.02065724684802957,0.5698017862965333,0.6072661673219759,0.28382189059988,0.07351127431343303,0.2711296264030049
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,ThomasAM_2018a,CRC,Control,29,24,0.3732212066453328,0.5954122939775246,1.1542968462493077,1.2575585127665696,-0.18212472935307208,0.0764746156505125,0.2765404412568124
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,ThomasAM_2018b,CRC,Control,32,28,0.6359132449870759,1.1383665104263827,1.2439039933729548,1.3603143761554417,-0.38166117364956365,0.0682200206407647,0.2611896258291372
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,ThomasAM_2019_c,CRC,Control,40,40,0.2466644803357326,0.22883348219082258,0.6125506769630106,1.1158112063099144,0.019619573655877718,0.05000246748506692,0.22361231514625243
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,VogtmannE_2016,CRC,Control,52,52,-0.1892572473098381,0.04216731630069545,0.9771768431700053,0.4095377470395883,-0.30661945721670614,0.038922398714204484,0.19728760405612028
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,WirbelJ_2018,CRC,Control,60,65,-0.050924162721771034,0.030474862748474767,0.727803467076115,0.8371501691533132,-0.10285002587282173,0.032094282570883835,0.17914877217241496
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,YachidaS_2019,CRC,Control,258,251,0.08644203185261701,0.038089909819964074,0.554916527797163,0.9543397938805498,0.06206225656028177,0.007863831281340324,0.0886782458179024
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,YuJ_2015,CRC,Control,74,54,-0.05111475831593071,0.010089458360429392,0.8921605557128616,0.8300827957414166,-0.07020522482948074,0.0320515906574025,0.17902958039777253
CRC_vs_Control,All,Bifidobacterium bifidum,rCLR_Bifidobacterium bifidum,ZellerG_2014,CRC,Control,53,61,0.06395272612868101,0.08377859781439087,1.4552298694549692,1.3058060311696214,-0.01429917635784294,0.03526227994788,0.18778253366029546
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,FengQ_2015,CRC,Control,46,61,-0.755606331917564,-0.3602823820007589,1.7082714334183429,1.8636359330699186,-0.2182101121802174,0.03835931426277011,0.1958553401436124
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,HanniganGD_2017,CRC,Control,27,28,-0.0403459356275095,-0.15685909854856758,1.357180006298139,0.6481174611920573,0.10864656283552046,0.07286268195524702,0.2699308836632945
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,ThomasAM_2018a,CRC,Control,29,24,-0.5111273127071481,-0.6789555149673886,1.252596203479421,1.5969556422808908,0.11658308829005726,0.07628267642927052,0.276193186790099
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,ThomasAM_2018b,CRC,Control,32,28,-0.4618963131722195,-0.3793706372640994,1.1925210210941792,1.3563895666495336,-0.06406456034874171,0.06699966733405018,0.258842939509754
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,ThomasAM_2019_c,CRC,Control,40,40,-0.6237076905512453,-0.46486568023544705,1.629125524695009,1.1120455003474647,-0.11278649414958654,0.05008154354655484,0.22378906038176855
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,VogtmannE_2016,CRC,Control,52,52,-0.11822193638509121,-0.5163882228686009,1.946354784382792,1.7414154324761761,0.21401686390249525,0.03868606404013973,0.19668773230717704
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,WirbelJ_2018,CRC,Control,60,65,-0.2085402747778532,-0.32890704864920084,0.9527405584273733,1.090559087519913,0.11651319156386292,0.03210646629440562,0.17918277343094569
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,YachidaS_2019,CRC,Control,258,251,-0.5572121189344886,-0.6869699356556902,1.4712935823584044,1.4526155220057333,0.08861541124228801,0.007867777008579263,0.08870049046414154
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,YuJ_2015,CRC,Control,74,54,-0.5386853799533393,-0.257435233452165,1.4875097482185995,0.768768070078536,-0.22598055346639576,0.0322346796929248,0.17954018963152735
CRC_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,ZellerG_2014,CRC,Control,53,61,0.0007883195473181433,-0.2710218281522581,0.6971833430950174,1.2292875844165605,0.26535393962280185,0.03557570962122298,0.18861524228233248
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,FengQ_2015,CRC,Control,46,61,-1.0895176538202747,-0.6602719942680035,1.9004865380464597,1.338099371402179,-0.26578293916170126,0.038468956727968816,0.19613504716895655
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,HanniganGD_2017,CRC,Control,27,28,-0.15253712913752537,-0.18796632812627484,0.5150853913955538,1.0305967678383785,0.04262886743192775,0.07276846633942208,0.26975630917445115
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,ThomasAM_2018a,CRC,Control,29,24,-0.18309241468690612,-0.2273591562588655,0.991082532921131,1.780570380723694,0.031079965438585485,0.07615889552511773,0.27596901189285317
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,ThomasAM_2018b,CRC,Control,32,28,-1.316731346676282,-0.761227694889734,2.1660789196693444,1.3635949462129404,-0.2985253364616599,0.06773253896005767,0.26025475780484336
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,ThomasAM_2019_c,CRC,Control,40,40,-0.6460364357535718,-0.2545656867890168,1.58140898088743,1.0961518596744007,-0.2849461424586042,0.050520476308346406,0.22476760511325114
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,VogtmannE_2016,CRC,Control,52,52,-0.7652232215987488,-0.3733332467373928,1.5459771405826201,1.3117527796192434,-0.27133515588988855,0.03882243437733155,0.19703409445406028
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,WirbelJ_2018,CRC,Control,60,65,-0.6789411952709387,-0.5518306578478239,1.309888904856179,1.5792892937313578,-0.0867500709581857,0.032081873818807456,0.1791141362897062
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,YachidaS_2019,CRC,Control,258,251,-0.44277533208603337,-0.45232320093652106,1.4480111620116636,1.4584513227737765,0.006560655233992666,0.007860075185194116,0.08865706506079545
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,YuJ_2015,CRC,Control,74,54,-0.09363734737098742,-0.5633570611948868,1.0008670808898876,1.4263200014693607,0.3896257785111136,0.03263444571171612,0.180650064244982
CRC_vs_Control,All,Parasutterella excrementihominis,rCLR_Parasutterella excrementihominis,ZellerG_2014,CRC,Control,53,61,-0.5602451140911603,-0.48881389722477936,1.2000185764200337,1.2118404914740826,-0.05881449224140197,0.035276809760617055,0.18782121754641315
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,FengQ_2015,CRC,Control,46,61,-0.38886427822471187,-0.28953682056397795,0.9331119358302659,0.8461607133708008,-0.11149724196171955,0.03819177131947186,0.19542715092707016
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,HanniganGD_2017,CRC,Control,27,28,0.0,-0.17396295853176474,0.0,0.9050535963322073,0.2654724261869796,0.07341618698779069,0.270954215667132
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,ThomasAM_2018a,CRC,Control,29,24,-0.20722077614217826,0.1331831815909665,1.3346219734538765,1.0310173068002324,-0.2778127213591593,0.07690609105352282,0.27731947471016677
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,ThomasAM_2018b,CRC,Control,32,28,-0.6774492873335519,-0.20689129884671845,1.4324978082479407,0.644956063213794,-0.40885518195987014,0.0684053422644188,0.2615441497422927
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,ThomasAM_2019_c,CRC,Control,40,40,-0.2791310418489796,-0.6048135774545054,1.1392527567246182,1.5881651945680642,0.2333773505691444,0.05034913453691457,0.22438612821855672
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,VogtmannE_2016,CRC,Control,52,52,-0.9723556761522238,-0.6685086864117379,2.1087210905769145,1.9190784027142296,-0.14959710749447266,0.0385712408859047,0.19639562338785635
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,WirbelJ_2018,CRC,Control,60,65,-0.4143170970334499,-0.722643276196138,1.7386008811512046,1.7754700202207394,0.17432480105824527,0.03217481512552594,0.17937339581310807
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,YachidaS_2019,CRC,Control,258,251,-0.3855030890432727,-0.483233237099973,1.1939472884266853,1.4474297735652546,0.07364871557462178,0.007865381981159296,0.0886869887929413
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,YuJ_2015,CRC,Control,74,54,-0.5128424633334061,0.1758881205470776,1.4143239155474265,0.9920311318442224,-0.545890024208936,0.03321455551826549,0.18224860909830146
CRC_vs_Control,All,Proteobacteria bacterium CAG:139,rCLR_Proteobacteria bacterium CAG:139,ZellerG_2014,CRC,Control,53,61,-1.5238127109393476,-0.7837367709802302,2.023435272453309,1.5260644093004514,-0.41428361649326395,0.03602757659274707,0.1898093164013481
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,FengQ_2015,CRC,Control,46,61,-1.2686317219418999,-1.635228761415731,1.6707203240598978,1.7674156069631262,0.21079823599979938,0.03834417256392689,0.19581668101550206
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,HanniganGD_2017,CRC,Control,27,28,-0.3434988076250608,-0.3214767074316999,0.8792847264133377,0.9489124679950103,-0.023714852134004278,0.07275662835709386,0.2697343662885652
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,ThomasAM_2018a,CRC,Control,29,24,-0.43077478807062497,-0.6341525080025293,1.0915941762473087,1.0020084012244985,0.19044292071695026,0.0765049988760936,0.27659537030849524
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,ThomasAM_2018b,CRC,Control,32,28,-1.3733286740952517,-1.524926879267224,0.8945470756071835,1.1806324397437207,0.14420933062690627,0.06714356443014657,0.25912075260416056
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,ThomasAM_2019_c,CRC,Control,40,40,-1.426115125314468,-1.4615062118234117,1.2835262944801256,1.6551490280127137,0.02366559784024373,0.05000359013154575,0.2236148253840647
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,VogtmannE_2016,CRC,Control,52,52,-1.250367511641856,-1.2332619301642729,1.4406719952793796,1.6240999085174164,-0.01106063824349992,0.038462138156236274,0.19611766405970746
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,WirbelJ_2018,CRC,Control,60,65,-1.2365480346044926,-1.0873160501741608,1.2435536877797386,1.2752033162036684,-0.11770312610007545,0.03210759922971185,0.17918593479877779
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,YachidaS_2019,CRC,Control,258,251,-1.379539586061797,-1.2298583185993113,1.5103171857857147,1.430472291538009,-0.10157051068400982,0.007870206868077262,0.08871418639697522
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,YuJ_2015,CRC,Control,74,54,-1.194027012757082,-1.5492347652475178,1.6226320732670905,1.7038236355810408,0.21305488304278,0.032212160536747796,0.1794774652616528
CRC_vs_Control,All,Lawsonibacter asaccharolyticus,rCLR_Lawsonibacter asaccharolyticus,ZellerG_2014,CRC,Control,53,61,-1.2482053447698498,-1.9586784006262405,1.5887717502831258,1.6280435099533193,0.438345190532082,0.036119164053317915,0.19005042502798544
CRC_vs_Control,All,Coprobacter fastidiosus,rCLR_Coprobacter fastidiosus,FengQ_2015,CRC,Control,46,61,-0.6907949508013298,-0.5001980986564816,1.2736411442195206,1.3382849526184086,-0.14434508497176043,0.03823178974133107,0.19552951117754852
CRC_vs_Control,All,Coprobacter fastidiosus,rCLR_Coprobacter fastidiosus,ThomasAM_2018a,CRC,Control,29,24,-0.8325784597385308,-0.4405782969676621,1.5462473097303482,0.9819628107734553,-0.2921539593319039,0.07698622858101621,0.27746392302606876
CRC_vs_Control,All,Coprobacter fastidiosus,rCLR_Coprobacter fastidiosus,ThomasAM_2018b,CRC,Control,32,28,-0.5896221633459087,-0.8378862992167113,1.0795394289329523,1.2233231837633185,0.21331666706036034,0.06735656158019727,0.2595314269605846
