comparison,stratum,species,feature,study,group1,group0,n_group1,n_group0,mean_group1,mean_group0,sd_group1,sd_group0,hedges_g,variance,se
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,ThomasAM_2019_c,CRC,Control,40,40,0.2825396217832741,0.4731002763639429,1.4995260979751182,1.1267421408554301,-0.14229277322519174,0.050129789957128953,0.22389682882329742
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,VogtmannE_2016,CRC,Control,52,52,0.5774044495610758,0.8178111631341325,1.4378762284433344,1.5142117788892606,-0.16161776509630257,0.03858957915759103,0.19644230490805953
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,WirbelJ_2018,CRC,Control,60,65,-0.17637640749890723,0.35789098652644064,1.6684015247922472,1.1753982414329733,-0.3705013257417486,0.032609295191023485,0.1805804396689284
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,YachidaS_2019,CRC,Control,258,251,0.3516998110319274,0.5662996605983118,1.281748385393154,1.2115351751688026,-0.17175274953596695,0.007889124460121202,0.08882074341121675
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,YuJ_2015,CRC,Control,74,54,0.6940237914229936,0.9860505621450856,1.7879437703195997,1.4353085977843036,-0.17605532831065474,0.03215502996308986,0.17931823656028367
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,ZellerG_2014,CRC,Control,53,61,0.8193519893727328,1.9056592107708359,1.7835411350554133,1.4448852933329457,-0.6697821742258145,0.03726408215531815,0.19303906898687154
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,FengQ_2015,CRC,Control,46,61,-0.6021022903858708,-0.6481836436526491,2.0685462386568574,1.5678152614910503,0.02542371462847457,0.038135650987569186,0.19528351437735134
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,HanniganGD_2017,CRC,Control,27,28,-0.17935144168955508,-0.11719228108928566,0.8090627627526392,1.1468222743385397,-0.06154913898092479,0.07278706139763684,0.2697907733738069
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,ThomasAM_2018a,CRC,Control,29,24,0.5965120486975596,0.5714589322160664,1.7090926832632634,1.1737493026237595,0.01654745419788475,0.07615210977990958,0.27595671722193965
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,ThomasAM_2018b,CRC,Control,32,28,0.38176057568854754,0.4564445211683873,1.811897003094936,1.2697196682535412,-0.046572501045574206,0.06698298397164468,0.2588107106973061
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,ThomasAM_2019_c,CRC,Control,40,40,0.750680213051098,1.3624546245779983,2.102396870849906,1.9780574457572464,-0.2968257506049313,0.050564779014244755,0.22486613576580347
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,VogtmannE_2016,CRC,Control,52,52,-0.012783574862504494,-0.019089057771666935,2.9017953939072325,3.1567894441528512,0.0020643331916499743,0.03846155935110477,0.1961161883963299
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,WirbelJ_2018,CRC,Control,60,65,0.4163054190381637,0.46524375039120414,2.1008218785217743,1.7902686810680366,-0.025001839294047267,0.03205382307554256,0.17903581506375355
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,YachidaS_2019,CRC,Control,258,251,1.1334000036888021,1.2970501060899,1.719380955254716,1.7188484756888975,-0.09505331097703036,0.007868943123784448,0.08870706355068038
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,YuJ_2015,CRC,Control,74,54,0.5416710476120574,0.8246450998128592,2.2230248623901216,1.7805549360373443,-0.13730762887679374,0.032106847051666026,0.1791838359106815
CRC_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,ZellerG_2014,CRC,Control,53,61,0.17099977957322224,0.08192062645381715,1.4789841324762913,1.546308107188274,0.05838721772119064,0.03527658620122245,0.1878206224066528
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,FengQ_2015,CRC,Control,46,61,2.2016007208281057,1.6110422842511476,2.1368013087420126,2.9208721721353963,0.224320752650938,0.0383721911533043,0.19588821085839828
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,HanniganGD_2017,CRC,Control,27,28,1.6889164187680208,1.6547194261751408,1.5912566603605076,1.8493126440195424,0.019513717828288247,0.07275491506437447,0.269731190381043
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,ThomasAM_2018a,CRC,Control,29,24,0.41163396871032315,1.1212339062221102,0.9534237479862113,1.6769328246526032,-0.5258911531288207,0.07886081259068144,0.2808216740044853
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,ThomasAM_2018b,CRC,Control,32,28,2.141193478635312,1.8756346223636613,0.9209680280090952,1.2911511315959168,0.23639537417041714,0.06744603375677857,0.25970374228489385
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,ThomasAM_2019_c,CRC,Control,40,40,1.3544538186146746,0.8320475478100107,1.4267442747615438,1.1006421613086268,0.4060427249356604,0.051056863426110106,0.22595765848076516
CRC_vs_Control,All,Collinsella aerofaciens,rCLR_Collinsella aerofaciens,VogtmannE_2016,CRC,Control,52,52,0.3792216330096546,0.593792633606682,2.1142252321643054,2.12889027601606,-0.10039232901380668,0.038510943460189524,0.19624205324086252
