Arrangement,N_folds,Median_AUC,IQR_AUC_low,IQR_AUC_high,Median_AUPRC,Median_F1,Median_N_nonzero_features,IQR_N_nonzero_low,IQR_N_nonzero_high,Median_Percent_nonzero_features,Median_Selected_C
All,10,0.7346352438534831,0.6685029532063447,0.797041266025641,0.7450243761625661,0.6465863453815262,31.0,28.0,34.0,14.351851851851851,0.03
OnlyFemale,10,0.7225252525252526,0.6083916031674883,0.7478374756335282,0.7273243247233017,0.5166666666666666,5.5,5.0,6.0,2.558139534883721,0.03
OnlyMale,10,0.7472094996457814,0.6853427059229489,0.8196402924663795,0.8039150949355068,0.6428571428571428,14.5,12.25,15.0,6.7441860465116275,0.03
