AUC,AUPRC,F1,TP,FP,TN,FN,Study,Model,Algorithm
0.803030303030303,0.6716269841269841,0.75,6,4,7,0,ThomasAM_2018a,Model_C,LASSO
0.6722689075630252,0.5047309833024118,0.18181818181818182,1,3,14,6,HanniganGD_2017,Model_C,LASSO
0.47787952666944167,0.20007587308804892,0.0,0,0,251,67,YachidaS_2019,Model_D,RandomForest
0.49590163934426235,0.41889647479022013,0.0,0,0,61,42,ZellerG_2014,Model_D,RandomForest
0.5148238576909662,0.45357983393181367,0.0,0,0,61,47,FengQ_2015,Model_D,RandomForest
0.48919753086419754,0.5486745513317601,0.0,0,0,24,27,ThomasAM_2018a,Model_D,RandomForest
0.5302197802197802,0.5210869448348225,0.0,0,0,28,26,HanniganGD_2017,Model_D,RandomForest
0.4887316406017721,0.2694010284350588,0.2753623188405797,19,52,199,48,YachidaS_2019,Model_D,LASSO
0.4164715066354411,0.38813221289829863,0.21875,7,15,46,35,ZellerG_2014,Model_D,LASSO
0.5047087547959539,0.45946564116234695,0.3373493975903614,14,22,39,33,FengQ_2015,Model_D,LASSO
0.4922839506172839,0.5713918441862265,0.4,10,13,11,17,ThomasAM_2018a,Model_D,LASSO
0.37637362637362637,0.4078565823719909,0.26666666666666666,6,13,15,20,HanniganGD_2017,Model_D,LASSO
