Feature_Type,N_Features,MeanAbsSHAP_Total,MeanAbsSHAP_Mean,Percent_TopN,Percent_SHAP_TopN
PA,12,4.1804465114774185,0.34837054262311823,60.0,64.50355287895628
rCLR,7,2.0930894383997445,0.2990127769142492,35.0,32.29600113278046
covariate,1,0.20741947799238097,0.20741947799238097,5.0,3.200445988263263
