Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
All,LASSO,Bacteroides uniformis,0.13981046714946246,0.1,51,0.0505325282600743,0.08927793888938816,rCLR,54
All,LASSO,Alistipes inops,0.13790940345635416,0.0,101,0.06863997979591033,0.06926942366044384,rCLR,55
All,LASSO,Klebsiella quasipneumoniae,0.1305659753312742,0.1,56,0.058745485050693845,0.07182049028058035,rCLR,56
All,LASSO,Eubacterium ramulus,0.12950481197375346,0.0,83,0.08275494206194202,0.04674986991181146,PA,57
All,LASSO,Clostridium sp. CAG:58,0.12876933028322163,0.0,70,0.10225992250005311,0.026509407783168504,PA,58
All,LASSO,Enterocloster bolteae,0.1236588247800387,0.0,78,0.09140507049313612,0.03225375428690258,PA,59
All,LASSO,Dialister invisus,0.12163463521326678,0.0,66,0.015933872784764845,0.10570076242850195,rCLR,60
All,LASSO,Dorea longicatena,0.11901847679088193,0.0,82,0.08701396035771439,0.03200451643316755,PA,61
All,LASSO,Bifidobacterium bifidum,0.11671612016471022,0.0,76,0.0930326648747593,0.023683455289950923,PA,62
All,LASSO,Parasutterella excrementihominis,0.11665858834068243,0.0,80,0.08825299281353127,0.02840559552715117,PA,63
All,LASSO,Blautia wexlerae,0.11650721361869877,0.1,54,0.07472622477251493,0.041780988846183836,PA,64
All,LASSO,Bacteroides stercoris,0.11599418457787838,0.0,85,0.03602535934277464,0.07996882523510375,rCLR,65
All,LASSO,Alistipes shahii,0.11470166648477431,0.0,87,0.07848562705124477,0.03621603943352953,PA,66
All,LASSO,Bacteroides xylanisolvens,0.11457594221297579,0.0,91,0.03999619497552366,0.07457974723745213,rCLR,67
All,LASSO,Bacteroides salyersiae,0.11452928600935557,0.0,74,0.09957882991339237,0.014950456095963191,PA,68
All,LASSO,Intestinibacter bartlettii,0.11344075481914837,0.0,110,0.05442532596467474,0.05901542885447362,rCLR,69
All,LASSO,Roseburia faecis,0.11264784260227342,0.1,55,0.06856442288038657,0.044083419721886855,PA,70
All,LASSO,Agathobaculum butyriciproducens,0.1106890785850477,0.0,94,0.038519764671225205,0.07216931391382249,rCLR,71
All,LASSO,Anaerobutyricum hallii,0.10719230357132548,0.0,86,0.028171121522893396,0.07902118204843209,rCLR,72
All,LASSO,Slackia isoflavoniconvertens,0.10698540018052159,0.0,113,0.05524450284863573,0.05174089733188586,PA,73
All,LASSO,Bacteroides fragilis,0.10646090569420563,0.1,53,0.07837060809445949,0.02809029759974615,PA,74
All,LASSO,Bacteroides ovatus,0.10393520471958936,0.0,93,0.0733054599563677,0.03062974476322166,PA,75
All,LASSO,Bacteroides cellulosilyticus,0.10203945790047811,0.0,96,0.030681110314900097,0.07135834758557802,rCLR,76
All,LASSO,Faecalibacterium prausnitzii,0.09791665511967358,0.0,88,0.01957966603061402,0.07833698908905956,rCLR,77
All,LASSO,Bacteroides finegoldii,0.0942974147594316,0.0,92,0.020520122676393436,0.07377729208303815,rCLR,78
All,LASSO,Ruminococcus bicirculans,0.09264808114499604,0.0,115,0.037894408225090805,0.054753672919905225,rCLR,79
All,LASSO,Eubacterium sp. CAG:251,0.09151754096174183,0.0,99,0.07038004306567279,0.021137497896069037,PA,80
All,LASSO,Firmicutes bacterium CAG:83,0.09065852523958215,0.0,106,0.06624878957318682,0.024409735666395333,PA,81
All,LASSO,Lawsonibacter asaccharolyticus,0.08896845774789533,0.0,128,0.04138252912106581,0.047585928626829525,rCLR,82
All,LASSO,[Ruminococcus] gnavus,0.08871517332272434,0.0,100,0.06982905818965393,0.018886115133070414,PA,83
All,LASSO,Barnesiella intestinihominis,0.08621151864100741,0.0,114,0.055239026380400666,0.03097249226060675,PA,84
All,LASSO,Firmicutes bacterium CAG:145,0.0817898979849091,0.0,137,0.04209506231103212,0.03969483567387698,PA,85
All,LASSO,Adlercreutzia equolifaciens_1,0.08173734638712501,0.0,90,0.07649719944756449,0.005240146939560528,PA,86
All,LASSO,Coprococcus eutactus,0.08166730071386111,0.0,123,0.03082167511331846,0.05084562560054264,rCLR,87
All,LASSO,Desulfovibrio piger,0.07955463370996362,0.0,102,0.06921196601649657,0.01034266769346705,PA,88
All,LASSO,Phocaeicola dorei,0.07903603487001491,0.0,130,0.032715064529776204,0.04632097034023871,rCLR,89
All,LASSO,Bacteroides eggerthii,0.07725514206594417,0.0,144,0.036972879463507295,0.04028226260243688,rCLR,90
All,LASSO,Megamonas funiformis,0.0766427951456844,0.0,132,0.04466450608823932,0.03197828905744508,PA,91
All,LASSO,Prevotella copri,0.07358962914032068,0.0,112,0.05558914222560137,0.0180004869147193,PA,92
All,LASSO,Blautia obeum,0.07102833123554872,0.0,148,0.03955597918565974,0.031472352049888984,PA,93
All,LASSO,Eubacterium sp. CAG:274,0.06599254126602569,0.0,142,0.025244824271865203,0.04074771699416048,rCLR,94
All,LASSO,[Ruminococcus] lactaris,0.06526246674168987,0.0,126,0.04991384244751233,0.015348624294177538,PA,95
All,LASSO,Phascolarctobacterium succinatutens,0.06336145662502068,0.0,158,0.03495737672281464,0.028404079902206048,PA,96
All,LASSO,Oscillibacter sp. CAG:241,0.06267690647021061,0.0,141,0.02165508866263899,0.04102181780757162,rCLR,97
All,LASSO,Bacteroides sp. CAG:144,0.05869252076904599,0.0,161,0.033372624963887106,0.025319895805158886,PA,98
All,LASSO,Acidaminococcus intestini,0.05832252341498585,0.0,153,0.02146891570038478,0.03685360771460107,rCLR,99
All,LASSO,Escherichia coli,0.0550256610949687,0.0,154,0.03622400341871962,0.018801657676249087,PA,100
All,LASSO,Parabacteroides distasonis,0.04987814900508859,0.0,181,0.0265410035831072,0.02333714542198139,PA,101
All,LASSO,Alistipes putredinis,0.049213140357705215,0.0,167,0.03188534124556252,0.017327799112142692,PA,102
All,LASSO,Holdemanella biformis,0.046967921561627296,0.0,179,0.019042630279076683,0.027925291282550613,rCLR,103
All,LASSO,Phocaeicola massiliensis,0.041310960529503345,0.0,188,0.0225928264774081,0.018718134052095246,PA,104
All,LASSO,Bifidobacterium adolescentis,0.037997587079353606,0.0,195,0.020038302838219467,0.01795928424113414,PA,105
All,LASSO,Bifidobacterium longum,0.037207808480044534,0.0,189,0.022073784869460166,0.015134023610584366,PA,106
All,LASSO,Fusicatenibacter saccharivorans,0.03679162164641208,0.0,166,0.004890500925345506,0.03190112072106657,rCLR,107
