Study,n_samples
YachidaS_2019,509
KIM_ADENOMAS_2020,138
SINHA_CRC_2016,131
YuJ_2015,128
WirbelJ_2018,125
ZellerG_2014,114
FengQ_2015,107
VogtmannE_2016,104
ThomasAM_2019_c,80
ThomasAM_2018b,60
GuptaA_2019,60
HanniganGD_2017,55
ThomasAM_2018a,53
