Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank,In_RF_SHAP_TopK,In_RF_SHAP_Any,RF_SHAP_SpeciesRank
OnlyMale,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.5026422115997258,1,2,True,False,0.5026422115997258,0.0,1.0,0.0,PA,1,True,True,1
OnlyMale,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,1.0,1.0,0.11612236475737783,2,2,False,True,0.11612236475737783,0.0,1.0,0.0,PA,2,False,True,29
OnlyMale,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,1.0,1.0,0.11584480205832759,3,2,True,False,0.0,0.11584480205832759,0.0,1.0,rCLR,3,True,True,4
OnlyMale,LASSO_LogisticRegression,Eubacterium ventriosum,eubacterium ventriosum,1.0,1.0,0.09421837755583498,4,2,False,True,0.0,0.09421837755583498,0.0,1.0,rCLR,4,True,True,9
OnlyMale,LASSO_LogisticRegression,Lachnospira eligens,lachnospira eligens,1.0,1.0,0.057383099020388496,5,2,False,True,0.0,0.057383099020388496,0.0,1.0,rCLR,5,True,True,8
OnlyMale,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,0.9,0.9,0.06041802879785953,6,2,True,False,0.0,0.06041802879785953,0.0,0.9,rCLR,6,True,True,5
OnlyMale,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,0.9,0.9,0.06015843748912866,7,2,False,True,0.0,0.06015843748912866,0.0,0.9,rCLR,7,True,True,2
OnlyMale,LASSO_LogisticRegression,Bifidobacterium bifidum,bifidobacterium bifidum,0.8,0.8,0.012403128360494457,9,2,False,True,0.012403128360494457,0.0,0.8,0.0,PA,8,False,True,32
OnlyMale,LASSO_LogisticRegression,Collinsella aerofaciens,collinsella aerofaciens,0.7,0.7,0.034186994487228485,10,2,True,False,0.034186994487228485,0.0,0.7,0.0,PA,9,True,True,18
OnlyMale,LASSO_LogisticRegression,Paraprevotella xylaniphila,paraprevotella xylaniphila,0.6,0.6,0.025218866451266166,11,2,False,True,0.0,0.025218866451266166,0.0,0.6,rCLR,10,True,True,16
OnlyMale,LASSO_LogisticRegression,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,0.6,0.6,0.019935910668107373,12,2,False,True,0.0,0.019935910668107373,0.0,0.6,rCLR,11,True,True,7
OnlyMale,LASSO_LogisticRegression,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.6,0.6,0.016378764365177698,13,2,True,False,0.016378764365177698,0.0,0.6,0.0,PA,12,False,True,65
OnlyMale,LASSO_LogisticRegression,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,0.4,0.4,0.015867442672358182,14,2,False,True,0.015867442672358182,0.0,0.4,0.0,PA,13,True,True,14
OnlyMale,LASSO_LogisticRegression,Lachnospira pectinoschiza,lachnospira pectinoschiza,0.4,0.4,0.015397259463814603,15,2,False,True,0.0,0.015397259463814603,0.0,0.4,rCLR,14,True,True,10
OnlyMale,LASSO_LogisticRegression,Methanobrevibacter smithii,methanobrevibacter smithii,0.3,0.3,0.02634532481216296,16,2,True,False,0.02634532481216296,0.0,0.3,0.0,PA,15,True,True,13
OnlyMale,LASSO_LogisticRegression,Bacteroides salyersiae,bacteroides salyersiae,0.3,0.3,0.00957580355789004,17,2,True,False,0.00957580355789004,0.0,0.3,0.0,PA,16,False,True,34
OnlyMale,LASSO_LogisticRegression,Bacteroides caccae,bacteroides caccae,0.3,0.3,0.007234591489098853,18,2,True,False,0.0,0.007234591489098853,0.0,0.3,rCLR,17,True,True,12
OnlyMale,LASSO_LogisticRegression,Roseburia faecis,roseburia faecis,0.2,0.2,0.006470393356419978,19,2,False,True,0.0,0.006470393356419978,0.0,0.2,rCLR,18,True,True,3
OnlyMale,LASSO_LogisticRegression,Akkermansia muciniphila,akkermansia muciniphila,0.1,0.1,0.046000677908793454,20,2,True,False,0.046000677908793454,0.0,0.1,0.0,PA,19,True,True,6
OnlyMale,LASSO_LogisticRegression,Anaerostipes hadrus,anaerostipes hadrus,0.1,0.1,0.011805251092239392,21,2,False,True,0.0,0.011805251092239392,0.0,0.1,rCLR,20,False,True,23
