feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Butyricimonas virosa,Butyricimonas virosa,Adenoma,Control,183,397,4,FengQ_2015;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.455966978896048,0.14540174820285517,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Adlercreutzia equolifaciens_1,Adlercreutzia equolifaciens_1,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.3948557579934422,0.16305934079424522,-0.106232978405214,-0.412076576511554,0.30584359810634,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Bacteroides salyersiae,Bacteroides salyersiae,Adenoma,Control,183,397,4,FengQ_2015;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.3889372059461196,0.16485184553743515,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Blautia wexlerae,Blautia wexlerae,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.3882745295177168,0.16505346505923213,0.0,-0.3032527781192586,0.3032527781192586,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_[Eubacterium] rectale,[Eubacterium] rectale,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.3607566596250242,0.17359060245474145,1.118711550160065,1.0124642240591144,0.10624732610095067,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Clostridium sp. CAG:58,Clostridium sp. CAG:58,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.3449445770748805,0.17864313324457282,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Blautia sp. CAG:257,Blautia sp. CAG:257,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.3384343097223055,0.1807549008035063,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Bacteroides ovatus,Bacteroides ovatus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.3150815360942296,0.18848250123440213,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Phocaeicola plebeius,Phocaeicola plebeius,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.278882359765087,0.20093848544544424,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Coprococcus eutactus,Coprococcus eutactus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.2272694689750272,0.21972132680548084,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
