feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.481454926097099,0.0004986977065989773,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.012485216586441672,True
rCLR_Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.4379368637309367,0.0005861643516722399,-0.3381826045350764,-0.8323863279665003,0.4942037234314238,higher_in_CRC,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.012485216586441672,True
rCLR_Paraprevotella xylaniphila,Paraprevotella xylaniphila,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.3893722060554827,0.0007005285283165406,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.012485216586441672,True
rCLR_Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.3470414813605505,0.0008167898701410438,2.5477254208771085,2.8501248392760936,-0.3023994183989851,higher_in_Control,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.012485216586441672,True
rCLR_Roseburia intestinalis,Roseburia intestinalis,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.2833922421072934,0.0010256584786590523,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.013718182152064827,True
rCLR_Eubacterium ventriosum,Eubacterium ventriosum,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.1410378130495116,0.0016835029502404444,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.020014979519525286,True
rCLR_Roseburia faecis,Roseburia faecis,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.099630515437021,0.0019376218878776699,0.0,0.5743150905653909,-0.5743150905653909,higher_in_Control,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.02073255420029107,True
rCLR_Lachnospira eligens,Lachnospira eligens,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.069370595512288,0.0021451031328875787,0.0,0.5778391266882336,-0.5778391266882336,higher_in_Control,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.02086600320172463,True
rCLR_Bacteroides caccae,Bacteroides caccae,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,2.980950953446915,0.0028735481120618594,0.116005183489753,0.0,0.116005183489753,higher_in_CRC,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.025622470665884915,True
rCLR_Anaerostipes hadrus,Anaerostipes hadrus,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-2.815335933837784,0.00487262697315818,0.4681626897382334,0.8355872334495763,-0.3674245437113429,higher_in_Control,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.039908016952407616,True
rCLR_Dorea formicigenerans,Dorea formicigenerans,CRC,Control,671,664,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,2.7930346588271893,0.005221609694707538,0.0692868449877006,0.0,0.0692868449877006,higher_in_CRC,CRC_vs_Control_all,van_elteren_blocked_wilcoxon,Study,,,ok,0.039908016952407616,True
