Algorithm,AUC_F_Median,AUC_F_IQR_25,AUC_F_IQR_75,AUC_M_Median,AUC_M_IQR_25,AUC_M_IQR_75,Equal_Opportunity_Median,Equal_Opportunity_IQR_25,Equal_Opportunity_IQR_75,Predictive_Parity_Gap_Median,Predictive_Parity_Gap_IQR_25,Predictive_Parity_Gap_IQR_75,Demographic_Parity_Gap_Median,Demographic_Parity_Gap_IQR_25,Demographic_Parity_Gap_IQR_75
RandomForest,0.749074074074074,0.6622558931991361,0.8105215097402598,0.7574690202167823,0.7094811110928052,0.8337831717587152,0.0949250460680313,0.032094594594594524,0.1651570048309178,0.1371522534313232,0.09377921926133703,0.26696428571428565,0.09727613774287061,0.04055499268265225,0.1455187382149592
LASSO,0.6727065826330532,0.6288609990537377,0.745681401931402,0.78533521205935,0.6831613080014615,0.8085532372217155,0.11302366121799179,0.09495772946859907,0.1410714285714286,0.08716216216216216,0.039000272776868516,0.13240546218487392,0.05090997786033252,0.028064556733546145,0.11704137057910646
