Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.5988888888888888,0.5590142305229359,0.55,11,11,14,7
HanniganGD_2017,0.5504201680672269,0.4243328100470957,0.1818181818181818,1,3,14,6
ThomasAM_2018a,0.7424242424242424,0.6785353535353534,0.5555555555555556,5,7,4,1
ThomasAM_2018b,0.6944444444444444,0.6642505699781243,0.1818181818181818,1,1,11,8
ThomasAM_2019_c,1.0,0.9999999999999998,0.9444444444444444,17,0,16,2
VogtmannE_2016,0.6644444444444444,0.670408709892714,0.6,9,6,9,6
WirbelJ_2018,0.7998511904761905,0.7973739348739348,0.5641025641025641,11,4,24,13
YachidaS_2019,0.6291349170775437,0.6134184881764391,0.48,42,36,79,55
YuJ_2015,0.8699633699633699,0.8968333575795595,0.7346938775510204,18,5,16,8
ZellerG_2014,0.6767676767676767,0.6460668115878782,0.6101694915254238,18,17,16,6
