Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.7508909479686385,0.7157325265396384,0.6851851851851852,37,25,36,9
HanniganGD_2017,0.498015873015873,0.5177354735003239,0.2162162162162162,4,6,22,23
ThomasAM_2018a,0.6982758620689655,0.7257653692918103,0.7575757575757576,25,12,12,4
ThomasAM_2018b,0.8180803571428571,0.8640043607387994,0.6909090909090909,19,4,24,13
ThomasAM_2019_c,0.99625,0.9961122290454768,0.975609756097561,40,2,38,0
VogtmannE_2016,0.6865754437869822,0.7154302045028076,0.6407766990291263,33,18,34,19
WirbelJ_2018,0.8244871794871793,0.8323598908705064,0.7289719626168224,39,8,57,21
YachidaS_2019,0.7216560116124648,0.7452794405959702,0.6313645621181263,155,78,173,103
YuJ_2015,0.8335835835835838,0.8735763298748406,0.7712418300653595,59,20,34,15
ZellerG_2014,0.690844416950201,0.617298421237792,0.6870229007633588,45,33,28,8
