Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.5148238576909662,0.4535798339318136,0.0,0,0,61,47
HanniganGD_2017,0.5302197802197802,0.5210869448348225,0.0,0,0,28,26
ThomasAM_2018a,0.4891975308641975,0.5486745513317601,0.0,0,0,24,27
YachidaS_2019,0.4778795266694416,0.2000758730880489,0.0,0,0,251,67
ZellerG_2014,0.4959016393442623,0.4188964747902201,0.0,0,0,61,42
