Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.6444444444444444,0.5953145729584887,0.5142857142857142,9,8,17,9
HanniganGD_2017,0.6722689075630252,0.5047309833024118,0.1818181818181818,1,3,14,6
ThomasAM_2018a,0.803030303030303,0.6716269841269841,0.75,6,4,7,0
ThomasAM_2018b,0.5092592592592593,0.4899300318417966,0.4705882352941176,4,4,8,5
ThomasAM_2019_c,0.950657894736842,0.9604274489112355,0.9,18,3,13,1
VogtmannE_2016,0.6444444444444445,0.6069103548400478,0.625,10,7,8,5
WirbelJ_2018,0.6964285714285714,0.7475319196018692,0.64,16,10,18,8
YachidaS_2019,0.5939040788883909,0.5646522438637105,0.5684210526315789,54,39,76,43
YuJ_2015,0.706959706959707,0.8029594735953832,0.6938775510204082,17,6,15,9
ZellerG_2014,0.7361111111111112,0.7560080322221225,0.6511627906976745,14,5,28,10
