PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.13172611138516221,0.13172611138516221
PC2,0.07453948747161998,0.2062655988567822
PC3,0.0672515150185825,0.2735171138753647
PC4,0.05093866142613091,0.3244557753014956
PC5,0.030244125920466942,0.35469990122196254
PC6,0.02417094425793376,0.3788708454798963
PC7,0.02276684016843223,0.4016376856483285
PC8,0.021621966762886146,0.42325965241121466
PC9,0.01889977011210034,0.44215942252331497
PC10,0.01849925721973042,0.4606586797430454
