comparison,description,feature,species,group_col,group1,group2,filters,n_group1,n_group2,prevalence_group1,prevalence_group2,prevalence_diff_group1_minus_group2,n_strata_total,n_strata_used,cmh_statistic,p_value,common_odds_ratio,common_odds_ratio_ci_low,common_odds_ratio_ci_high,q_value_bh,significant_fdr_0_05
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Parvimonas micra,Parvimonas micra,Condition,CRC,Control,none,671,664,0.4157973174366617,0.13253012048192772,0.283267196954734,10,10,140.71491466535494,0.0,4.954975365285836,3.740147554688001,6.564388305968209,0.0,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Methanobrevibacter smithii,Methanobrevibacter smithii,Condition,CRC,Control,none,671,664,0.31594634873323396,0.2289156626506024,0.08703068608263156,10,10,20.28714061666126,6.66470196952762e-06,1.8384889482224633,1.4063337184721971,2.4034420623919375,0.0002507597277914275,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Streptococcus salivarius,Streptococcus salivarius,Condition,CRC,Control,none,671,664,0.8286140089418778,0.9096385542168675,-0.0810245452749897,10,10,20.184879816950055,7.030646573591426e-06,0.4533304280002561,0.31889621315946004,0.6444368683930827,0.0002507597277914275,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Roseburia intestinalis,Roseburia intestinalis,Condition,CRC,Control,none,671,664,0.5499254843517138,0.6566265060240963,-0.10670102167238249,10,10,15.420102351067243,8.606782975695282e-05,0.630194320168514,0.5003362048583991,0.7937560330759035,0.002302314445998488,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,Condition,CRC,Control,none,671,664,0.2608047690014903,0.18072289156626506,0.08008187743522524,10,10,12.787402449811143,0.0003489613246622225,1.6317457765163295,1.2459089374465628,2.1370697321071894,0.0074677723477715625,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Bacteroides fragilis,Bacteroides fragilis,Condition,CRC,Control,none,671,664,0.5782414307004471,0.48343373493975905,0.09480769576068804,10,10,12.104304818132261,0.0005030554839704493,1.4908249918114809,1.1900402496127191,1.8676336005719143,0.008971156130806346,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Escherichia coli,Escherichia coli,Condition,CRC,Control,none,671,664,0.7481371087928465,0.661144578313253,0.08699253047959343,10,10,11.76157337190924,0.0006046609329728447,1.537571879230266,1.2004030312409208,1.9694446134110197,0.009242674261156342,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Phocaeicola plebeius,Phocaeicola plebeius,Condition,CRC,Control,none,671,664,0.4008941877794337,0.3072289156626506,0.0936652721167831,10,10,10.925140955620398,0.0009486798490617732,1.476075802071052,1.1702352075296962,1.861847737480937,0.012688592981201218,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Collinsella aerofaciens,Collinsella aerofaciens,Condition,CRC,Control,none,671,664,0.8673621460506706,0.8057228915662651,0.06163925448440555,10,10,10.428238145129207,0.001241030749052796,1.6247059982422067,1.206208533694053,2.188402342537017,0.014754476683183243,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Ruminococcus bicirculans,Ruminococcus bicirculans,Condition,CRC,Control,none,671,664,0.46050670640834573,0.5481927710843374,-0.08768606467599166,10,10,10.040282549910678,0.0015315371011931367,0.695819155980218,0.5554810579303834,0.871612615618122,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Bacteroides caccae,Bacteroides caccae,Condition,CRC,Control,none,671,664,0.6676602086438153,0.5813253012048193,0.08633490743899597,10,10,9.943120118976822,0.0016145166134401423,1.4402379596960888,1.147329058329297,1.8079254294927904,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Enterocloster bolteae,Enterocloster bolteae,Condition,CRC,Control,none,671,664,0.6870342771982116,0.5993975903614458,0.08763668683676584,10,10,9.78934671837658,0.0017552581130014788,1.4821143292197054,1.1576262136608322,1.8975580018456355,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Megamonas funiformis,Megamonas funiformis,Condition,CRC,Control,none,671,664,0.19225037257824143,0.125,0.06725037257824143,10,10,9.270475587012648,0.002328772262284895,1.6196462980065243,1.186068204501647,2.211722834057808,0.019167587081883368,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Condition,CRC,Control,none,671,664,0.4336810730253353,0.35240963855421686,0.08127143447111845,10,10,9.049891716456901,0.0026271037839102895,1.426149645480086,1.1312960316315421,1.7978519807673183,0.020078578919885785,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Parabacteroides merdae,Parabacteroides merdae,Condition,CRC,Control,none,671,664,0.736214605067064,0.6686746987951807,0.06753990627188333,10,10,8.39039680491237,0.003772085538472303,1.4278411999280662,1.1214925917168002,1.8178724561087793,0.026022569425858146,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Lachnospira eligens,Lachnospira eligens,Condition,CRC,Control,none,671,664,0.6289120715350224,0.7003012048192772,-0.07138913328425478,10,10,8.333889655461501,0.0038912253347077597,0.698321028988689,0.5470506013400475,0.8914207540093646,0.026022569425858146,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Roseburia faecis,Roseburia faecis,Condition,CRC,Control,none,671,664,0.639344262295082,0.7108433734939759,-0.07149911119889385,10,10,7.981499997462049,0.004725776947466009,0.6980179289699799,0.5433754233402689,0.8966710827081901,0.02974459608110959,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Butyricimonas virosa,Butyricimonas virosa,Condition,CRC,Control,none,671,664,0.5901639344262295,0.516566265060241,0.07359766936598855,10,10,7.526199501018619,0.0060808052659987455,1.3698503132529467,1.0931943892112184,1.7165198607295777,0.036147009081214765,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Holdemanella biformis,Holdemanella biformis,Condition,CRC,Control,none,671,664,0.30700447093889716,0.24849397590361447,0.05851049503528269,10,10,7.144568460290944,0.007519136543556959,1.392107992765175,1.09094382931232,1.7764110410178378,0.04234461106108393,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Parvimonas micra,Parvimonas micra,Condition,CRC,Control,Gender=Male,426,371,0.43661971830985913,0.12398921832884097,0.31263049998101816,10,10,102.14308208033601,0.0,6.0522136871848184,4.154799711701025,8.81613869669563,0.0,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Methanobrevibacter smithii,Methanobrevibacter smithii,Condition,CRC,Control,Gender=Male,426,371,0.34507042253521125,0.22911051212938005,0.1159599104058312,10,10,21.61135292552089,3.3386975133442576e-06,2.3094472298771613,1.612074518377699,3.3084987367424397,0.00017862031696391778,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Streptococcus salivarius,Streptococcus salivarius,Condition,CRC,Control,Gender=Male,426,371,0.8051643192488263,0.9110512129380054,-0.10588689368917914,10,10,14.718757392931721,0.00012479853166535992,0.4182118598079272,0.2659632737873476,0.6576139524581448,0.0037660849925883035,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Akkermansia muciniphila,Akkermansia muciniphila,Condition,CRC,Control,Gender=Male,426,371,0.5633802816901409,0.4528301886792453,0.11055009301089558,10,10,14.177295778287613,0.00016636588157215026,1.7673316949770586,1.3086548221662389,2.38677248359515,0.0037660849925883035,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Collinsella aerofaciens,Collinsella aerofaciens,Condition,CRC,Control,Gender=Male,426,371,0.9014084507042254,0.8140161725067385,0.08739227819748685,10,10,14.071554469775046,0.0001759852800274908,2.159494643171798,1.4292587768497513,3.2628220931176597,0.0037660849925883035,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,Condition,CRC,Control,Gender=Male,426,371,0.2793427230046948,0.18598382749326145,0.09335889551143337,10,10,11.107246145355319,0.0008599108077843587,1.7990336113329588,1.2687298492527646,2.5509937648364622,0.015335076072154397,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Firmicutes bacterium CAG:145,Firmicutes bacterium CAG:145,Condition,CRC,Control,Gender=Male,426,371,0.392018779342723,0.30727762803234504,0.08474115131037796,10,10,9.49253944558205,0.0020630907249825636,1.6307670795876659,1.1937012605229127,2.227861656694496,0.02981654666752784,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Roseburia intestinalis,Roseburia intestinalis,Condition,CRC,Control,Gender=Male,426,371,0.5610328638497653,0.6711590296495957,-0.11012616579983048,10,10,9.350476911150071,0.002229274517198343,0.6233248626215833,0.46058388640039444,0.843568122625236,0.02981654666752784,True
CRC_vs_Control__Male,"CRC vs Control, males only",PA_Enterocloster bolteae,Enterocloster bolteae,Condition,CRC,Control,Gender=Male,426,371,0.6971830985915493,0.6118598382749326,0.08532326031661663,10,10,9.004104629574835,0.0026937392728924037,1.6491431237367569,1.1875465007665293,2.2901613038417885,0.03202556691105413,True
